"TABSCHEMA","TABNAME","INDNAME","UNIQUERULE","INDEXTYPE"
MAXIMO  ,ASSETHISTORY,ASSETHIST_NDX2,D,REG 
MAXIMO  ,ASSETHISTORY,SQL251206163606420,P,REG 
MAXIMO  ,ASSETLOCCOMM,COMMODITYASSETNUM,D,REG 
MAXIMO  ,ASSETLOCCOMM,COMMODITYASSETTYPE,D,REG 
MAXIMO  ,ASSETLOCCOMM,COMMODITYLOCATION,D,REG 
MAXIMO  ,ASSETLOCCOMM,SQL251206163606560,P,REG 
MAXIMO  ,ASSETLOCRELATION,ASSETLOCRELAT_NDX1,U,REG 
MAXIMO  ,ASSETLOCRELATION,ASSETLOCRELAT_NDX2,D,REG 
MAXIMO  ,ASSETLOCRELATION,SQL251206163606720,P,REG 
MAXIMO  ,ASSETLOCRELHIST,SQL251206163606880,P,REG 
MAXIMO  ,ASSETLOCUSERCUST,ASSETLOCUSERC_NDX1,U,REG 
MAXIMO  ,ASSETLOCUSERCUST,ASSETLOCUSERC_NDX2,D,REG 
MAXIMO  ,ASSETLOCUSERCUST,ASSETLOCUSERC_NDX3,D,REG 
MAXIMO  ,ASSETLOCUSERCUST,SQL251206163607020,P,REG 
MAXIMO  ,ASSETMETER,ASSETMETER_NDX1,U,REG 
MAXIMO  ,ASSETMETER,ASSETMETER_NDX20,D,REG 
MAXIMO  ,ASSETMETER,ASSETMETER_NDX3,D,REG 
MAXIMO  ,ASSETMETER,SQL251206163607180,P,REG 
MAXIMO  ,ASSETMNTSKD,ASSETMNTASKD_NDX1,D,REG 
MAXIMO  ,ASSETMNTSKD,ASSETMNTSKD_NDX1,U,REG 
MAXIMO  ,ASSETMNTSKD,ASSETMNTSKD_NDX2,D,REG 
MAXIMO  ,ASSETMNTSKD,ASSETMNTSKD_NDX3,D,REG 
MAXIMO  ,ASSETMNTSKD,SQL251206163607310,P,REG 
MAXIMO  ,ASSETOPSKD,ASSETOPASKD_NDX1,D,REG 
MAXIMO  ,ASSETOPSKD,ASSETOPSKD_NDX1,U,REG 
MAXIMO  ,ASSETOPSKD,ASSETOPSKD_NDX2,D,REG 
MAXIMO  ,ASSETOPSKD,ASSETOPSKD_NDX3,D,REG 
MAXIMO  ,ASSETOPSKD,SQL251206163607450,P,REG 
MAXIMO  ,ASSETROLLUPSTATUS,ASSETROLLUPST_NDX1,U,REG 
MAXIMO  ,ASSETROLLUPSTATUS,SQL251206163607590,P,REG 
MAXIMO  ,ASSETSPEC,ASSETSPEC_NDX1,U,REG 
MAXIMO  ,ASSETSPEC,ASSETSPEC_NDX2,D,REG 
MAXIMO  ,ASSETSPEC,ASSETSPEC_NDX3,D,REG 
MAXIMO  ,ASSETSPEC,ASSETSPEC_NDX4,D,REG 
MAXIMO  ,ASSETSPEC,SQL251206163607730,P,REG 
MAXIMO  ,ASSETSPECHIST,ASSETSPECHIST_NDX1,D,REG 
MAXIMO  ,ASSETSPECHIST,ASSETSPECHIST_NDX2,U,REG 
MAXIMO  ,ASSETSPECHIST,ASSETSPECHIST_NDX3,D,REG 
MAXIMO  ,ASSETSPECHIST,SQL251206163607880,P,REG 
MAXIMO  ,ASSETSTATUS,ASSETSTATUS_NDX1,D,REG 
MAXIMO  ,ASSETSTATUS,ASSETSTATUS_NDX2,D,REG 
MAXIMO  ,ASSETSTATUS,ASSETSTATUS_NDX3,D,REG 
MAXIMO  ,ASSETSTATUS,ASSETSTATUS_NDX4,D,REG 
MAXIMO  ,ASSETSTATUS,ASSETSTATUS_NDX5,D,REG 
MAXIMO  ,ASSETSTATUS,SQL251206163608010,P,REG 
MAXIMO  ,ASSETTOPOCACHE,ASSETTOPOCACH_NDX1,D,REG 
MAXIMO  ,ASSETTOPOCACHE,SQL251206163608140,P,REG 
MAXIMO  ,ASSETTRANS,ASSETTRANS_NDX1,D,REG 
MAXIMO  ,ASSETTRANS,ASSETTRANS_NDX2,D,REG 
MAXIMO  ,ASSETTRANS,ASSETTRANS_NDX3,D,REG 
MAXIMO  ,ASSETTRANS,ASSETTRANS_NDX4,D,REG 
MAXIMO  ,ASSETTRANS,ASSETTRANS_NDX5,D,REG 
MAXIMO  ,ASSETTRANS,ASSETTRANS_NDX6,D,REG 
MAXIMO  ,ASSETTRANS,SQL251206163608270,P,REG 
MAXIMO  ,ASSETTYPE,ASSETTYPE_NDX1,U,REG 
MAXIMO  ,ASSETTYPE,SQL251206163608400,P,REG 
MAXIMO  ,ASSETWORKZONE,ASSETWORKZONE_NDX1,U,REG 
MAXIMO  ,ASSETWORKZONE,ASSETWORKZONE_NDX2,D,REG 
MAXIMO  ,ASSETWORKZONE,ASSETWORKZONE_NDX3,D,REG 
MAXIMO  ,ASSETWORKZONE,SQL251206163608520,P,REG 
MAXIMO  ,ASSIGNMENT,ASSIGNMENT_NDX1,D,REG 
MAXIMO  ,ASSIGNMENT,ASSIGNMENT_NDX2,D,REG 
MAXIMO  ,ASSIGNMENT,ASSIGNMENT_NDX3,D,REG 
MAXIMO  ,ASSIGNMENT,ASSIGNMENT_NDX4,D,REG 
MAXIMO  ,ASSIGNMENT,ASSIGNMENT_NDX5,D,REG 
MAXIMO  ,ASSIGNMENT,ASSIGNMENT_NDX6,D,REG 
MAXIMO  ,ASSIGNMENT,ASSIGNMNT_NDX,D,REG 
MAXIMO  ,ASSIGNMENT,SQL251206163608660,P,REG 
MAXIMO  ,ASSIGNREPLOC,ASSIGNREPLOC_NDX1,D,REG 
MAXIMO  ,ASSIGNREPLOC,SQL251206163608780,P,REG 
MAXIMO  ,ASTMSOVER,ASTMSOVER_NDX1,U,REG 
MAXIMO  ,ASTMSOVER,SQL251206163608910,P,REG 
MAXIMO  ,ASTSPECMSOVER,ASTSPECMSOVER_NDX1,U,REG 
MAXIMO  ,ASTSPECMSOVER,SQL251206163609030,P,REG 
MAXIMO  ,ASYNCJOBOBJSNAP,ASYNCJOBOBJSN_NDX1,U,REG 
MAXIMO  ,ASYNCJOBOBJSNAP,ASYNCJOBOBJSN_NDX2,D,REG 
MAXIMO  ,ASYNCJOBOBJSNAP,ASYNCJOBOBJSN_NDX3,D,REG 
MAXIMO  ,ASYNCJOBOBJSNAP,SQL251206163609170,P,REG 
MAXIMO  ,ATTENDANCE,ATTEND_NDX1,D,REG 
MAXIMO  ,ATTENDANCE,SQL251206163609290,P,REG 
MAXIMO  ,ATTRFORMULA,ATTRFORMULA_NDX1,U,REG 
MAXIMO  ,ATTRFORMULA,SQL251206163609410,P,REG 
MAXIMO  ,ATTRFORMULACOND,ATTRFORMULACO_NDX1,U,REG 
MAXIMO  ,ATTRFORMULACOND,SQL251206163609530,P,REG 
MAXIMO  ,AUTHROLE,AUTHROLE_NDX1,U,REG 
MAXIMO  ,AUTHROLE,SQL251206163609660,P,REG 
MAXIMO  ,AUTHROLEUSER,AUTHROLEUSER_NDX1,U,REG 
MAXIMO  ,AUTHROLEUSER,SQL251206163609780,P,REG 
MAXIMO  ,AUTOATTRUPDATE,AUTOATTRUPDAT_NDX1,D,REG 
MAXIMO  ,AUTOATTRUPDATE,AUTOATTRUPDAT_NDX2,D,REG 
MAXIMO  ,AUTOATTRUPDATE,AUTOATTRUPDAT_NDX3,D,REG 
MAXIMO  ,AUTOATTRUPDATE,AUTOATTRUPDAT_NDX4,D,REG 
MAXIMO  ,AUTOATTRUPDATE,SQL251206163609900,P,REG 
MAXIMO  ,AUTOKEY,AUTOKEY_NDX1,U,REG 
MAXIMO  ,AUTOKEY,SQL251206163610030,P,REG 
MAXIMO  ,AUTOLOCATEFIELDS,SQL251206163610140,P,REG 
MAXIMO  ,AUTOSCRIPT,AUTOSCRIPT_ALTIDX,U,REG 
MAXIMO  ,AUTOSCRIPT,SQL251206163610350,P,REG 
MAXIMO  ,AUTOSCRIPTSTATE,SQL251206163610480,P,REG 
MAXIMO  ,AUTOSCRIPTVARS,AUTOSCRIPTVAR_NDX1,U,REG 
MAXIMO  ,AUTOSCRIPTVARS,SQL251206163610610,P,REG 
MAXIMO  ,BBOARDAUDIENCE,BBOARDAUDIEN_NDX1,D,REG 
MAXIMO  ,BBOARDAUDIENCE,SQL251206163612060,P,REG 
MAXIMO  ,BBOARDMSGSTATUS,SQL251206163612190,P,REG 
MAXIMO  ,BBSTATUSHISTORY,SQL251206163612420,P,REG 
MAXIMO  ,BILLTOSHIPTO,BILLTOSHIPTO_NDX1,U,REG 
MAXIMO  ,BILLTOSHIPTO,SQL251206163612550,P,REG 
MAXIMO  ,BIMATTRIBUTEMAP,BIMATTRIBUTEM_NDX1,U,REG 
MAXIMO  ,BIMATTRIBUTEMAP,SQL251206163612670,P,REG 
MAXIMO  ,BIMATTRIBUTEMAPENTRY,SQL251206163612790,P,REG 
MAXIMO  ,BIMATTRIBUTEMAPLIST,SQL251206163612910,P,REG 
MAXIMO  ,BIMCOMMISSION,BIMCOMMISSION_NDX1,U,REG 
MAXIMO  ,BIMCOMMISSION,SQL251206163613110,P,REG 
MAXIMO  ,BIMCONFIGURATION,BIMCONFIGURAT_NDX1,U,REG 
MAXIMO  ,BIMCONFIGURATION,SQL251206163613270,P,REG 
MAXIMO  ,BIMFILTER,BIMFILTER_NDX1,U,REG 
MAXIMO  ,BIMFILTER,SQL251206163613400,P,REG 
MAXIMO  ,BIMFILTERENTRY,SQL251206163613520,P,REG 
MAXIMO  ,BIMFILTERLIST,SQL251206163613650,P,REG 
MAXIMO  ,BIMOMNICLASSIMPORT,SQL251206163613840,P,REG 
MAXIMO  ,BIMOMNICLASSUSEWITH,SQL251206163613960,P,REG 
MAXIMO  ,BIMPRODUCTBASE,BIMPRODUCTBAS_NDX1,U,REG 
MAXIMO  ,BIMPRODUCTBASE,PRODUCT_MODELID_NDX,D,REG 
MAXIMO  ,BIMPRODUCTBASE,SQL251206163614090,P,REG 
MAXIMO  ,BIMPRODUCTBASESPEC,BIMPRODUCTBAS_NDX3,U,REG 
MAXIMO  ,BIMPRODUCTBASESPEC,SQL251206163614220,P,REG 
MAXIMO  ,BIMPRODUCTJOB,BIMPRODUCTJOB_NDX1,U,REG 
MAXIMO  ,BIMPRODUCTJOB,SQL251206163614340,P,REG 
MAXIMO  ,BIMPRODUCTPART,BIMPRODUCTPAR_NDX1,U,REG 
MAXIMO  ,BIMPRODUCTPART,SQL251206163614460,P,REG 
MAXIMO  ,BIMPRODUCTPARTSUPP,BIMPRODUCTPAR_NDX3,U,REG 
MAXIMO  ,BIMPRODUCTPARTSUPP,SQL251206163614580,P,REG 
MAXIMO  ,BIMPRODUCTSTATUS,SQL251206163614710,P,REG 
MAXIMO  ,BIMPROJECT,BIMPROJECT_NDX1,U,REG 
MAXIMO  ,BIMPROJECT,SQL251206163614840,P,REG 
MAXIMO  ,BIMSESSION,BIMSESSION_NDX1,U,REG 
MAXIMO  ,BIMSESSION,SQL251206163615060,P,REG 
MAXIMO  ,BIMSPECMAPENTRY,SQL251206163615190,P,REG 
MAXIMO  ,BIMSYSTEMMAPENTRY,SQL251206163615310,P,REG 
MAXIMO  ,BIMTYPEMAP,BIMTYPEMAP_NDX1,U,REG 
