"USERID","PERSONID","STATUS","DEFSITE","TYPE","GROUPNAME"
THIAGOSILVEIRA,THIAGOSILVEIRA,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
THIAGOSILVEIRA,THIAGOSILVEIRA,INACTIVE,OP-BASE,TYPE 1,OOG_ASSET_COORDINATOR
THIAGOSILVEIRA,THIAGOSILVEIRA,INACTIVE,OP-BASE,TYPE 1,OOG_MOCDOC_EMISSOR
THIAGOSILVEIRA,THIAGOSILVEIRA,INACTIVE,OP-BASE,TYPE 1,OOG_MOC_OPENERS
THIAGOSILVEIRA,THIAGOSILVEIRA,INACTIVE,OP-BASE,TYPE 1,OOG_PROJECT_ENGINEER
THIAGOTINOCO,THIAGOTINOCO,INACTIVE,BASE-UNP,TYPE 1,MAXDEFLTREG
THIAGOTINOCO,THIAGOTINOCO,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
THIAGOTINOCO,THIAGOTINOCO,INACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
THIAGOTINOCO,THIAGOTINOCO,INACTIVE,BASE-UNP,TYPE 1,OOG_MOCPEO_GESTOR
THIAGOTINOCO,THIAGOTINOCO,INACTIVE,BASE-UNP,TYPE 1,TUTOR_GROUP
THIJSVISSER,THIJSVISSER,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
THIJSVISSER,THIJSVISSER,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
THIJSVISSER,THIJSVISSER,INACTIVE,OP-BASE,TYPE 1,OOG_MOCDOC_APROVADOR
THIJSVISSER,THIJSVISSER,INACTIVE,OP-BASE,TYPE 1,OOG_MOC_APPROVERS
THIJSVISSER,THIJSVISSER,INACTIVE,OP-BASE,TYPE 1,OOG_RIGMGR
THIJSVISSER,THIJSVISSER,INACTIVE,OP-BASE,TYPE 1,TUTOR_GROUP
TIAGOFREITAS,TIAGOFREITAS,ACTIVE,BASE-UNP,TYPE 4,MAXEVERYONE
TIAGOFREITAS,TIAGOFREITAS,ACTIVE,BASE-UNP,TYPE 4,MOBILE
TIAGOFREITAS,TIAGOFREITAS,ACTIVE,BASE-UNP,TYPE 4,OOG_ALL_DRILLING
TIAGOFREITAS,TIAGOFREITAS,ACTIVE,BASE-UNP,TYPE 4,OOG_BASE_READ_ONLY
TIAGOFREITAS,TIAGOFREITAS,ACTIVE,BASE-UNP,TYPE 4,OOG_MOC_APPROVERS
TIAGOHONORATO,TIAGOHONORATO,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
TIAGOHONORATO,TIAGOHONORATO,INACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
TIAGOHONORATO,TIAGOHONORATO,INACTIVE,BASE-UNP,TYPE 1,OOG_REQUISITANTET
TIAGOSILVA,TIAGOSILVA,INACTIVE,ODN2,TYPE 1,MAXEVERYONE
TIAGOSILVA,TIAGOSILVA,INACTIVE,ODN2,TYPE 1,OOG_ALL_DRILLING
TIAGOSILVA,TIAGOSILVA,INACTIVE,ODN2,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
TIAGOSILVA,TIAGOSILVA,INACTIVE,ODN2,TYPE 1,OOG_ISOLATION_MANAGER
TIBERIOSEGUNDO,TIBERIOSEGUNDO,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
TIBERIOSEGUNDO,TIBERIOSEGUNDO,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
TIBERIOSEGUNDO,TIBERIOSEGUNDO,INACTIVE,OP-BASE,TYPE 1,OOG_MATERIAL_ENGINEER
TIMOTEOSILVA,TIMOTEOSILVA,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
TIMOTEOSILVA,TIMOTEOSILVA,INACTIVE,BASE-UNP,TYPE 1,OCY_SST
TIMOTEOSILVA,TIMOTEOSILVA,INACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
TIMOTEOSILVA,TIMOTEOSILVA,INACTIVE,BASE-UNP,TYPE 1,OOG_DEPARTMENT_LEADER
TIMOTEOSILVA,TIMOTEOSILVA,INACTIVE,BASE-UNP,TYPE 1,OOG_ISOLATION_MANAGER
TIMOTEOSILVA,TIMOTEOSILVA,INACTIVE,BASE-UNP,TYPE 1,OOG_MOCDOC_EMISSOR
TIMOTHYMAYHUGH,TIMOTHYMAYHUGH,ACTIVE,PGC,TYPE 1,MAXDEFLTREG
TIMOTHYMAYHUGH,TIMOTHYMAYHUGH,ACTIVE,PGC,TYPE 1,MAXEVERYONE
TIMOTHYMAYHUGH,TIMOTHYMAYHUGH,ACTIVE,PGC,TYPE 1,OOG_ALL_DRILLING
TIMOTHYMAYHUGH,TIMOTHYMAYHUGH,ACTIVE,PGC,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
TIMOTHYMAYHUGH,TIMOTHYMAYHUGH,ACTIVE,PGC,TYPE 1,OOG_MOC_OPENERS
TIMOTHYMAYHUGH,TIMOTHYMAYHUGH,ACTIVE,PGC,TYPE 1,OOG_SUPERVISOR
TIMOTHYMAYHUGH,TIMOTHYMAYHUGH,ACTIVE,PGC,TYPE 1,TUTOR_GROUP
TPAUKSTYS,TPAUKSTYS,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
TPAUKSTYS,TPAUKSTYS,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
TULIOFERREIRA,TULIOFERREIRA,INACTIVE,ODN1,TYPE 1,MAXEVERYONE
TULIOFERREIRA,TULIOFERREIRA,INACTIVE,ODN1,TYPE 1,OOG_ALL_DRILLING
TULIOFERREIRA,TULIOFERREIRA,INACTIVE,ODN1,TYPE 1,OOG_BASE_READ_ONLY
UALACEMENDES,UALACEMENDES,INACTIVE,OP-BASE,TYPE 1,MAXDEFLTREG
UALACEMENDES,UALACEMENDES,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
UALACEMENDES,UALACEMENDES,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
UALACEMENDES,UALACEMENDES,INACTIVE,OP-BASE,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
UALACEMENDES,UALACEMENDES,INACTIVE,OP-BASE,TYPE 1,OOG_DEPARTMENT_TEAM
URSULADIAS,URSULADIAS,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
URSULADIAS,URSULADIAS,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
URSULADIAS,URSULADIAS,INACTIVE,OP-BASE,TYPE 1,OOG_MOCDOC_EMISSOR
USERDOUGLAS,USERDOUGLAS,INACTIVE,N06,TYPE 1,MAXEVERYONE
USERDOUGLAS,USERDOUGLAS,INACTIVE,N06,TYPE 1,OOG_ALL_DRILLING
USERDOUGLAS,USERDOUGLAS,INACTIVE,N06,TYPE 1,OOG_MATERIAL_ENGINEER
USERMACRO,USERMACRO,INACTIVE,OP-BASE,TYPE 3,MAXDEFLTREG
USERMACRO,USERMACRO,INACTIVE,OP-BASE,TYPE 3,MAXEVERYONE
USERMACRO,USERMACRO,INACTIVE,OP-BASE,TYPE 3,OOG_MOC_APPROVERS
USERREPARO,USERREPARO,INACTIVE,ODN1,TYPE 1,MAXEVERYONE
