IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, APP, OPTIONNAME FROM APPLICATIONAUTH;
  MAXDEFLTREG, WOTRACK, PLUSVIEWDS
  MAXEVERYONE, WOTRACK, PLUSVIEWDS
  REPORTADMIN, PLUSGCFW, SEARCHBOOK
  MAXADMIN, PLUSGCFW, SEARCHBOOK
  SYSADMIN, PLUSGCFW, SEARCHBOOK
  REPORTADMIN, PLUSGCFW, SEARCHMORE
  MAXADMIN, PLUSGCFW, SEARCHMORE
  SYSADMIN, PLUSGCFW, SEARCHMORE
  REPORTADMIN, PLUSGCFW, SEARCHSQRY
  MAXADMIN, PLUSGCFW, SEARCHSQRY
  SYSADMIN, PLUSGCFW, SEARCHSQRY
  REPORTADMIN, PLUSGCFW, SEARCHTIPS
  MAXADMIN, PLUSGCFW, SEARCHTIPS
  SYSADMIN, PLUSGCFW, SEARCHTIPS
  REPORTADMIN, PLUSGCFW, SEARCHVMQR
  MAXADMIN, PLUSGCFW, SEARCHVMQR
  SYSADMIN, PLUSGCFW, SEARCHVMQR
  REPORTADMIN, PLUSGCFW, SEARCHWHER
  MAXADMIN, PLUSGCFW, SEARCHWHER
  SYSADMIN, PLUSGCFW, SEARCHWHER
  REPORTADMIN, PLUSGREG, SEARCHBOOK
  MAXADMIN, PLUSGREG, SEARCHBOOK
  SYSADMIN, PLUSGREG, SEARCHBOOK
  REPORTADMIN, PLUSGREG, SEARCHMORE
  MAXADMIN, PLUSGREG, SEARCHMORE
  SYSADMIN, PLUSGREG, SEARCHMORE
  REPORTADMIN, PLUSGREG, SEARCHSQRY
  MAXADMIN, PLUSGREG, SEARCHSQRY
  SYSADMIN, PLUSGREG, SEARCHSQRY
  REPORTADMIN, PLUSGREG, SEARCHTIPS
  MAXADMIN, PLUSGREG, SEARCHTIPS
  SYSADMIN, PLUSGREG, SEARCHTIPS
  REPORTADMIN, PLUSGREG, SEARCHVMQR
  MAXADMIN, PLUSGREG, SEARCHVMQR
  SYSADMIN, PLUSGREG, SEARCHVMQR
  REPORTADMIN, PLUSGREG, SEARCHWHER
  MAXADMIN, PLUSGREG, SEARCHWHER
  SYSADMIN, PLUSGREG, SEARCHWHER
  REPORTADMIN, PLUSGRFW, SEARCHBOOK
  MAXADMIN, PLUSGRFW, SEARCHBOOK
  SYSADMIN, PLUSGRFW, SEARCHBOOK
  REPORTADMIN, PLUSGRFW, SEARCHMORE
  MAXADMIN, PLUSGRFW, SEARCHMORE
  SYSADMIN, PLUSGRFW, SEARCHMORE
  REPORTADMIN, PLUSGRFW, SEARCHSQRY
  MAXADMIN, PLUSGRFW, SEARCHSQRY
  SYSADMIN, PLUSGRFW, SEARCHSQRY
  REPORTADMIN, PLUSGRFW, SEARCHTIPS
  MAXADMIN, PLUSGRFW, SEARCHTIPS
  SYSADMIN, PLUSGRFW, SEARCHTIPS
  REPORTADMIN, PLUSGRFW, SEARCHVMQR
  MAXADMIN, PLUSGRFW, SEARCHVMQR
  SYSADMIN, PLUSGRFW, SEARCHVMQR
  REPORTADMIN, PLUSGRFW, SEARCHWHER
  MAXADMIN, PLUSGRFW, SEARCHWHER
  SYSADMIN, PLUSGRFW, SEARCHWHER
  MAXEVERYONE, PLUSGJP, EDITREPT
  MAXADMIN, PLUSGJP, PUBLICREPT
  MAXEVERYONE, PLUSGJP, DELETEREPT
  MAXADMIN, PLUSGJP, CREATEREPT
  MAXEVERYONE, PLUSGLOC, REPFACILITY
  MAXEVERYONE, PLUSGLOC, EDITREPT
  MAXADMIN, PLUSGLOC, PUBLICREPT
  MAXEVERYONE, PLUSGLOC, DELETEREPT
  MAXADMIN, PLUSGLOC, CREATEREPT
  MAXEVERYONE, PLUSGPM, REPFACILITY
  MAXEVERYONE, PLUSGPM, WMLINEAR
  MAXEVERYONE, PLUSGPM, EDITREPT
  MAXADMIN, PLUSGPM, PUBLICREPT
  MAXEVERYONE, PLUSGPM, DELETEREPT
  MAXADMIN, PLUSGPM, CREATEREPT
  MAXEVERYONE, PLUSGROU, WMLINEAR
  MAXEVERYONE, PLUSGROU, EDITREPT
  MAXADMIN, PLUSGROU, PUBLICREPT
  MAXEVERYONE, PLUSGROU, DELETEREPT
  MAXADMIN, PLUSGROU, CREATEREPT
  MAXADMIN, PLUSGASS, PUBLICREPT
  MAXADMIN, PLUSGASS, CREATEREPT
  MAXREG, SELFREG, INSERT
  MAXREG, SELFREG, READ
  MAXREG, FORGOTPSWD, READ
  MAXREG, FORGOTPSWD, SAVE
  MAXREG, FORGOTPSWD, INSERT
  MAXEVERYONE, ACTIVITY, SWAP
  MAXEVERYONE, CHANGE, SWAP
  MAXEVERYONE, QUICKREP, SWAP
  MAXEVERYONE, RELEASE, SWAP
  MAXEVERYONE, WOTRACK, SWAP
  MAXEVERYONE, ACTIVITY, MOVE
  MAXEVERYONE, CHANGE, MOVE
  MAXEVERYONE, QUICKREP, MOVE
  MAXEVERYONE, RELEASE, MOVE
  MAXEVERYONE, WOTRACK, MOVE
  MAXADMIN, REPORT, ACTUATEUISEC
  MAXEVERYONE, ACTIVITY, PARENTTICKET
  MAXEVERYONE, ACTIVITY, PARENTWORKORDER
  MAXEVERYONE, ACTIVITY, SHOWACTTAB
  MAXEVERYONE, ACTIVITY, SHOWPLANTAB
  MAXEVERYONE, ACTIVITY, SHOWRESTAB
  MAXEVERYONE, ACTUALCI, CHGHIST
  MAXEVERYONE, ACTUALCI, VAPPTOPO
  MAXEVERYONE, ACTUALCI, VBATOPO
  MAXEVERYONE, ACTUALCI, VPHYSTOPO
  MAXEVERYONE, ASSET, LINEARASSET
  MAXEVERYONE, ASSET, WMLINEAR
  MAXEVERYONE, CI, VACTCIAPP
  MAXEVERYONE, CI, VACTCIBA
  MAXEVERYONE, CI, VACTCICHG
  MAXEVERYONE, CI, VACTCIPHY
  MAXEVERYONE, COND, WMLINEAR
  MAXEVERYONE, QUICKREP, WMLINEAR
  MAXEVERYONE, INCIDENT, SHOWGLOBAL
  MAXEVERYONE, ITEM, SHOWDELETE
  MAXEVERYONE, PM, WMLINEAR
  MAXEVERYONE, PROBLEM, SHOWGLOBAL
  MAXEVERYONE, REPORT, DISPUSER
  MAXEVERYONE, ROUTES, WMLINEAR
  MAXEVERYONE, SR, SHOWGLOBAL
  MAXEVERYONE, SRVCOMMOD, SCINSTALD
  MAXEVERYONE, SRVITEM, SHOWDELETE
  MAXEVERYONE, TOOL, SHOWDELETE
  MAXEVERYONE, VIEWSR, WMLINEAR
  MAXEVERYONE, WOTRACK, WMLINEAR
  MAXEVERYONE, SR, WMLINEAR
  MAXADMIN, DM, COMPDEPL
  MAXADMIN, DM, DELCMPSRC
  MAXADMIN, DM, DISTRIBUTE
  MAXADMIN, DM, DMCLOSEPKG
  MAXADMIN, DM, DMDOWNLOADCMPSRC
  MAXADMIN, DM, DMDOWNLOADPKG
  MAXADMIN, SECURGROUP, FIELDDEFS
  MAXADMIN, DM, REDISTRIBUTE
  MAXADMIN, DM, SETWHERE
  MAXADMIN, DM, STATUS
  MAXEVERYONE, CREATESR, WMLINEAR
  MAXEVERYONE, WOTRACK, LINRPROG
  MAXEVERYONE, ASSET, VIEWASHIS
  MAXEVERYONE, WOTRACK, SCINSTALD
  MAXEVERYONE, SR, SCINSTALD
  MAXEVERYONE, COND, LINEARASSET
  MAXREG, SELFREG, SAVE
  MAXEVERYONE, QUICKREP, LINRPROG
  MAXEVERYONE, WOTRACK, MEMOABOVESTATUS
  MAXEVERYONE, WOTRACK, MEMOBELOWSTATUS
  MAXEVERYONE, ACTIVITY, MEMOABOVESTATUS
  MAXEVERYONE, ACTIVITY, MEMOBELOWSTATUS
  MAXEVERYONE, CHANGE, MEMOABOVESTATUS
  MAXEVERYONE, CHANGE, MEMOBELOWSTATUS
  MAXEVERYONE, RELEASE, MEMOABOVESTATUS
  MAXEVERYONE, RELEASE, MEMOBELOWSTATUS
  MAXEVERYONE, QUICKREP, MEMOABOVESTATUS
  MAXEVERYONE, QUICKREP, MEMOBELOWSTATUS
  MAXEVERYONE, PR, MEMOABOVESTATUS
  MAXEVERYONE, PR, MEMOBELOWSTATUS
  MAXEVERYONE, PO, MEMOABOVESTATUS
  MAXEVERYONE, PO, MEMOBELOWSTATUS
  MAXEVERYONE, RFQ, MEMOABOVESTATUS
  MAXADMIN, SECURGROUP, INSERT
  MAXADMIN, SECURGROUP, NEXT
  MAXADMIN, SECURGROUP, PREVIOUS
  MAXADMIN, SECURGROUP, PSWDDURAT
  MAXADMIN, SECURGROUP, READ
  MAXADMIN, SECURGROUP, SAVE
  MAXADMIN, SECURGROUP, SEARCHBOOK
  MAXADMIN, SECURGROUP, SEARCHMORE
  MAXADMIN, SECURGROUP, SEARCHSQRY
  MAXADMIN, SECURGROUP, SEARCHTIPS
  MAXADMIN, SECURGROUP, SEARCHVMQR
  MAXADMIN, SECURGROUP, SEARCHWHER
  MAXADMIN, SECURGROUP, SECCONTROL
  MAXADMIN, STARTCNTR, DEFAULT
  MAXADMIN, STARTCNTR, PASSWORD
  MAXADMIN, STARTCNTR, PERSONAL
  MAXADMIN, STARTCNTR, READ
  MAXADMIN, STARTCNTR, UPDATETEMP
  MAXADMIN, USER, ASSIGNWF
  MAXADMIN, SECURGROUP, CLEAR
  MAXADMIN, SECURGROUP, CREATEKPI
  MAXADMIN, SECURGROUP, DELETE
  MAXADMIN, SECURGROUP, DUPLICATE
  MAXADMIN, SECURGROUP, GRPASSIGN
  MAXADMIN, USER, SESSION
  MAXADMIN, PROPMAINT, READ
  MAXADMIN, PROPMAINT, SAVE
  MAXADMIN, PROPMAINT, LIVEREF
  MAXADMIN, PROPMAINT, RESTOREDEF
  MAXADMIN, PROPMAINT, RESTOREGLB
  MAXADMIN, SECURGROUP, GLOBALDATA
  MAXADMIN, CONFIGUR, ADMINMODE
  MAXADMIN, CONFIGUR, CONFIGURE
  MAXADMIN, STARTCNTR, ADMINMODELOGIN
  MAXADMIN, USER, PWCHANGE
  MAXADMIN, USER, PWHINT
  MAXADMIN, USER, READ
  MAXADMIN, USER, ROUTEWF
  MAXADMIN, USER, RUNREPORTS
  MAXADMIN, USER, SAVE
  MAXADMIN, USER, SEARCHBOOK
  MAXADMIN, USER, SEARCHMORE
  MAXADMIN, USER, SEARCHSQRY
  MAXADMIN, USER, SEARCHTIPS
  MAXADMIN, SECURGROUP, WEBSECURE
  MAXADMIN, USER, SEARCHVMQR
  MAXADMIN, USER, SEARCHWHER
  MAXADMIN, USER, SECCONTROL
  MAXADMIN, USER, STATUS
  MAXADMIN, USER, STOPWF
  MAXADMIN, USER, VIEWHIST
  MAXADMIN, USER, VIEWWF
  MAXDEFLTREG, CHANGEPSWD, READ
  MAXDEFLTREG, CHANGEPSWD, SAVE
  MAXADMIN, CHANGEPWD, READ
  MAXADMIN, CHANGEPWD, SAVE
  MAXADMIN, SECURGROUP, BOOKMARK
  MAXADMIN, PROPMAINT, CLEAR
  MAXEVERYONE, RFQ, MEMOBELOWSTATUS
  MAXEVERYONE, INVOICE, MEMOABOVESTATUS
  MAXEVERYONE, INVOICE, MEMOBELOWSTATUS
  MAXEVERYONE, SR, MEMOABOVESTATUS
  MAXEVERYONE, SR, MEMOBELOWSTATUS
  MAXEVERYONE, INCIDENT, MEMOABOVESTATUS
  MAXEVERYONE, INCIDENT, MEMOBELOWSTATUS
  MAXEVERYONE, PROBLEM, MEMOABOVESTATUS
  MAXEVERYONE, PROBLEM, MEMOBELOWSTATUS
  MAXADMIN, REPORT, VIEWRPTPR
  MAXADMIN, DOMAINADM, RUNREPORTS
  MAXADMIN, DOMAINADM, CREATEREPT
  MAXADMIN, CONDEXPMGR, RUNREPORTS
  MAXADMIN, CONDEXPMGR, CREATEREPT
  MAXADMIN, ACTIVITY, PUBLICREPT
  MAXEVERYONE, CHANGEPSWD, READ
  MAXEVERYONE, CHANGEPSWD, SAVE
  MAXDEFLTREG, STARTCNTR, DEFAULT
  MAXEVERYONE, STARTCNTR, DEFAULT
  MAXDEFLTREG, STARTCNTR, PASSWORD
  MAXEVERYONE, STARTCNTR, PASSWORD
  MAXDEFLTREG, STARTCNTR, PERSONAL
  MAXEVERYONE, STARTCNTR, PERSONAL
  MAXDEFLTREG, STARTCNTR, READ
  MAXEVERYONE, STARTCNTR, READ
