IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT LICENSENUM, APPNAME, ACCESSLEVEL, MODULE, MAXPRODID FROM MAXLICAPPS;
  OCY_EXPRESSCUR, SEARCHSOL, FULLACCESS, SSDR, MAXIMO
  OCY_EXPRESSCUR, SOLUTION, READSAVE, SD, MAXIMO
  OCY_EXPRESSCUR, CI, READONLY, CI, MAXIMO
  OCY_EXPRESSCUR, JSONRES, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, BIMPROJECT, READONLY, -, MAXIMO
  OCY_EXPRESSCUR, PRODUCT, READONLY, -, MAXIMO
  OCY_EXPRESSCUR, DESIGNSPEC, READONLY, -, MAXIMO
  OCY_EXPRESSCUR, BIMMODELS, READONLY, -, MAXIMO
  OCY_EXPRESSCUR, LICTRACK, READONLY, SETUP, MAXIMO
  OCY_EXPRESSCUR, MFMAILCFG, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, ACTION, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, DESIGNER, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, BBOARD, FULLACCESS, SETUP, MAXIMO
  OCY_EXPRESSCUR, CALENDR, READONLY, SETUP, MAXIMO
  OCY_EXPRESSCUR, CHANGEPSWD, FULLACCESS, -, MAXIMO
  OCY_EXPRESSCUR, CHRTACCT, READONLY, FINANCIAL, MAXIMO
  OCY_EXPRESSCUR, CITYPE, READSAVE, SETUP, MAXIMO
  OCY_EXPRESSCUR, ASSETCAT, READONLY, SETUP, MAXIMO
  OCY_EXPRESSCUR, COGNOSHOME, READONLY, ANALYTICS, MAXIMO
  OCY_EXPRESSCUR, COMMTMPLT, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, CRONTASK, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, CURRENCY, READONLY, FINANCIAL, MAXIMO
  OCY_EXPRESSCUR, CONFIGUR, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, DOMAINADM, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, EMAILSTNER, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, ESCALATION, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, EXCHANGE, READONLY, FINANCIAL, MAXIMO
  OCY_EXPRESSCUR, FACONFIG, FULLACCESS, -, MAXIMO
  OCY_EXPRESSCUR, FORGOTPSWD, FULLACCESS, -, MAXIMO
  OCY_EXPRESSCUR, INBXCONFIG, FULLACCESS, -, MAXIMO
  OCY_EXPRESSCUR, INVISSUE, READSAVE, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, KPIGCONFIG, FULLACCESS, -, MAXIMO
  OCY_EXPRESSCUR, KPILCONFIG, FULLACCESS, -, MAXIMO
  OCY_EXPRESSCUR, KPI, READONLY, SETUP, MAXIMO
  OCY_EXPRESSCUR, KPITPL, READONLY, SETUP, MAXIMO
  OCY_EXPRESSCUR, KPIVIEWER, FULLACCESS, ANALYTICS, MAXIMO
  OCY_EXPRESSCUR, SCCONFIG, FULLACCESS, -, MAXIMO
  OCY_EXPRESSCUR, LOGGING, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, INTOBJECT, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, MULTISITE, READONLY, SETUP, MAXIMO
  OCY_EXPRESSCUR, PERSON, READSAVE, SETUP, MAXIMO
  O&G_AUTHORIZED, OOG_ALERT, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, OOG_AMREAD, FULLACCESS, ASSET, OILGAS
  O&G_AUTHORIZED, OOG_CMISS, FULLACCESS, PURCHASE, OILGAS
  O&G_AUTHORIZED, OOG_CMRCV, FULLACCESS, PURCHASE, OILGAS
  O&G_AUTHORIZED, OOG_COMPSH, FULLACCESS, ASSET, OILGAS
  O&G_AUTHORIZED, OOG_DEPART, FULLACCESS, SETUP, OILGAS
  O&G_LIMITED, PLUSGINV, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGCFW, READSAVE, PLANS, OILGAS
  O&G_LIMITED, RELEASE, NOACCESS, RELEASE, OILGAS
  O&G_LIMITED, CHANGE, NOACCESS, CHANGE, OILGAS
  O&G_LIMITED, PLUSGVWINC, FULLACCESS, SSDR, OILGAS
  O&G_LIMITED, PLUSGTKTMP, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGLPROF, READSAVE, ASSET, OILGAS
  O&G_LIMITED, PLUSGPREC, READONLY, PLANS, OILGAS
  O&G_LIMITED, PLUSGQUAL, READSAVE, SETUP, OILGAS
  O&G_LIMITED, PLUSGOPTSK, FULLACCESS, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGPROC, READSAVE, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGHAZ, READONLY, PLANS, OILGAS
  O&G_LIMITED, PLUSGRSK, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGCON, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGSOL, FULLACCESS, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGPRS, READSAVE, SETUP, OILGAS
  O&G_LIMITED, PLUSGLOC, READSAVE, ASSET, OILGAS
