IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
  EXTDRILLDOWN, MATUSETRANS, EXTDRILLDOWN, -, -, -, Relationship from the MATUSETRANS to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100135
  EXTDRILLDOWN, LOCKOUT, EXTDRILLDOWN, -, -, -, Relationship from the LOCKOUT to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100136
  EXTDRILLDOWN, MATRECTRANS, EXTDRILLDOWN, -, -, -, Relationship from the MATRECTRANS to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100137
  EXTDRILLDOWN, SPRELATEDASSET, EXTDRILLDOWN, -, -, -, Relationship from the SPRELATEDASSET to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100138
  EXTDRILLDOWN, WOTAGOUT, EXTDRILLDOWN, -, -, -, Relationship from the WOTAGOUT to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100139
  EXTDRILLDOWN, SAFETYPLAN, EXTDRILLDOWN, -, -, -, Relationship from the SAFETYPLAN to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100140
  EXTDRILLDOWN, LOCHIERARCHY, EXTDRILLDOWN, -, -, -, Relationship from the LOCHIERARCHY to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100141
  EXTDRILLDOWN, LOCATIONS, EXTDRILLDOWN, -, -, -, Relationship to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100142
  EXTDRILLDOWN, RFQ, EXTDRILLDOWN, -, -, -, Relationship from the RFQ to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100143
  EXTDRILLDOWN, SERVRECTRANS, EXTDRILLDOWN, -, -, -, Relationship from the SERVRECTRANS to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100144
  EXTDRILLDOWN, WHEREUSED, EXTDRILLDOWN, -, -, -, Relationship from the WHEREUSED to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100145
  EXTDRILLDOWN, WOLOCKOUT, EXTDRILLDOWN, -, -, -, Relationship from the WOLOCKOUT to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100146
