IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
  PERSONDEFAULTAPP, PERSON, PERSONDEFAULTAPP, personid=:personid, -, -, Person default role based application, 98599
  ORIGINALRECEIPT, SERVRECTRANS, SERVRECTRANS, servrectransid = :receiptref and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue='RECEIPT'), -, -, Relationship to the SERVRECTRANS table, used to find the SERVRECTRANS records. The resulting set will contain one object., 98600
  SITE, ASSET, SITE, siteid=:siteid and orgid=:orgid, -, -, Relationship SITE on object ASSET., 98601
  WORKCENTERTEMPLATE, MAXAPPS, WORKCENTERTEMPLATE, workcenter=:app, -, -, Relation to show all Security Templates associated with Application. This relationship will return zero or more rows., 98602
  DEFAULTTEMPLATE, MAXAPPS, WORKCENTERTEMPLATE, workcenter=:app and isdefault = 1, -, -, Relation to show default Security Template associated with Application. This relationship will return 1 row., 98603
  OSUSED, MAXAPPS, OSUSED, app=:app, -, -, Relation to show all object structures associated with Work Center. This relationship will return zero or more rows row., 98604
  OSUSED, WORKCENTERTEMPLATE, OSUSED, app=:workcenter, -, -, Relation to show all object structures associated with Application. This relationship will return zero or more rows row., 98605
  MAXINTOBJECT, OSUSED, MAXINTOBJECT, intobjectname=:intobjectname, -, -, Relation to show object structure description. This relationship will return one row., 98606
  WCTEMPLATEOPTION, OSUSED, WCTEMPLATEOPTION, -, -, -, Relation to show object structure description. This relationship will return one row., 98607
  WCTEMPLATEOPTION, WORKCENTERTEMPLATE, WCTEMPLATEOPTION, -, -, -, Relation to show object structure description. This relationship will return one row., 98608
  SIGOMAIN, OSUSED, SIGOPTION, app=(select authapp from maxintobject where intobjectname =:intobjectname) and optionname in ('READ','INSERT','SAVE','DELETE'), -, -, Relation to show main Signature Options for a Security Group associated with Application. This relationship will return zero or more rows., 98609
  SIGOOTHER, OSUSED, SIGOPTION, app=(select authapp from maxintobject where intobjectname =:intobjectname) and optionname not in ('READ','INSERT','SAVE','DELETE'), -, -, Relation to show all other Signature Options for a Security Group associated with Application. This relationship will return zero or more rows., 98610
  SIGOPTION, WORKCENTERTEMPLATE, SIGOPTION, app=:workcenter, -, -, Relation to show all Signature Options for a Security Group associated with Application. This relationship will return zero or more rows., 98611
  SIGOPTION, OSUSED, SIGOPTION, app=(select authapp from maxintobject where intobjectname =:intobjectname), -, -, Relation to show all Signature Options for a Security Group associated with Object Structure of a Application. This relationship will return zero or more rows., 98612
  WORKCENTERS, OSUSED, OSUSED, intobjectname =:intobjectname, -, -, Relation to show all Applications where this Object Structures used. This relationship will return one or more rows., 98613
  WORKCENTERTEMPLATE, OSUSED, WORKCENTERTEMPLATE, workcenter =:app, -, -, Relation to show Application description. This relationship will return one row., 98614
  WCTEMPLATEAUTH, WCTEMPLATEOPTION, WCTEMPLATEAUTH, template=:template and workcenter=:workcenter and app=:app and optionname =:optionname, -, -, Relation to show authorization for template Option. This relationship will return one row., 98615
  RELATEDWORKCENTER, MAXAPPS, RELATEDWORKCENTER, workcenter=:app, -, -, Relation to show all Related Work Centers. This relationship will return zero or more rows., 98616
  WCRELATEDTEMPLATE, WORKCENTERTEMPLATE, WCRELATEDTEMPLATE, workcenter=:workcenter and template=:template, -, -, Relation to show all object structures associated with Application. This relationship will return zero or more rows row., 98617
  MAXAPPS, RELATEDWORKCENTER, MAXAPPS, app=:relworkcenter, -, -, Relation to show description of the Related Application. This relationship will return 1 row., 98618
  RELWORKCENTER, WCRELATEDTEMPLATE, MAXAPPS, app=:relworkcenter, -, -, Relation to show description of the Related Application. This relationship will return 1 row., 98619
  RELATEDTEMPLATE, WCRELATEDTEMPLATE, WORKCENTERTEMPLATE, workcenter = :relworkcenter and template = :reltemplate, -, -, Relation to show description of the Related Application. This relationship will return 1 row., 98620
  WORKCENTERTEMPLATE, WCRELATEDTEMPLATE, WORKCENTERTEMPLATE, workcenter=:workcenter and template=:template, -, -, Relation to show description of the Related Application Template. This relationship will return zero or more rows row., 98621
  MAXAPPS, WCRELATEDTEMPLATE, MAXAPPS, app=:workcenter, -, -, Relation to show description of the Related Application. This relationship will return 1 row., 98622
  RELATEDAPPAUTHOS, APPLICATIONAUTH, RELATEDAPPAUTH, groupname=:groupname and app=:app and optionname=:optionname and workcenter is null, -, -, Relation to show Related Applications. This relationship will return 1 or more rows row., 98623
  RELATEDAPPAUTH, APPLICATIONAUTH, RELATEDAPPAUTH, groupname=:groupname and app=:app and optionname=:optionname, -, -, Relation to show Related Applications. This relationship will return 1 or more rows row., 98624
  RELATEDAPPAUTHWC, SIGOPTION, RELATEDAPPAUTH, groupname=:groupname and app=:app and optionname=:optionname and workcenter=:workcenter, -, -, Relation to show Related Applications. This relationship will return 1 or more rows row., 98625
  WCTEMPLATEAUTH, WORKCENTERTEMPLATE, WCTEMPLATEAUTH, template=:template and workcenter=:workcenter, -, -, Relation to show authorization for Security Template. This relationship will return one or more rows., 98626
  WCTEMPLATEAUTH, MAXAPPS, WCTEMPLATEAUTH, workcenter=:app and template=:template, -, -, Relation to show all security groups associated with Application. This relationship will return zero or more rows., 98627
  ALNDOMAIN, MAXAPPS, ALNDOMAIN, domainid='APPTYPE' and value=:apptype, -, -, Relation to show description of the Application Type. This relationship will return 1 row., 98628
  INSIGHTFACTOR, INSIGHT, INSIGHTFACTOR, insightname=:name, -, -, Relationship to find all its factors, 98629
  APPUSERPROPCFG, APPPROPCFG, APPUSERPROPCFG, app=:app and propname=:propname, -, -, personalized property, 98630
  PERSON, MAXLICPURCHDET, PERSON, personid=:purchasedby, -, -, Relationship from MAXLICPURCHDET to PERSON table., 98539
  PERSON, MAXLICENSE, PERSON, personid=:responsibleperson, -, -, Relationship from MAXLICENSE to PERSON table., 98540
  MAXLICAPPACCESS, MAXLICPRODAPPS, MAXLICAPPACCESS, appname=:appname, -, -, Relationship from MAXLICPRODAPPS to MAXLICAPPACCESS table., 98541
  MAXMODULES, MAXLICPRODAPPS, MAXMODULES, module = (select module from maxlicappaccess where  appname=:appname), -, -, Relationship from MAXLICPRODAPPS to MAXMODULES table., 98542
  NOTIFICATIONS, WFACTION, WFNOTIFICATION, processname=:processname and processrev=:processrev and nodeid=:ownernodeid and actionid = :actionid and actionid <> 0, -, -, Relationship to the WFNofitication table which holds the notifications for the action.  (processname=:processname and processrev=:processrev and nodeid = :ownernodeid and actionid = :actionid and actionid <> 0). This resulting set will contain zero to many objects., 98543
  PLUSGQRYASSETLOC, PLUSGSHFTLOGENTRY, PLUSGQRYASSETLOC, -, -, -, Relationship to the non-persistent PLUSGQRYASSETLOC table., 99112
  PLUSGPERWORKMULTISITECHK, PLUSGPERMITWORK, PLUSGPERWORKMULTISITECHK, plusgpermitworkid = :plusgpermitworkid, -, -, Relationship to retrieve all the site checks of a permit to work., 99113
  PLUSGPERSON, PLUSGPERWORKMULTISITECHK, PERSON, personid = :personid, -, -, Relationship to person to retrieve person's details., 99114
  PLUSGPERWORKMULTISITECHK, PERSON, PLUSGPERWORKMULTISITECHK, personid = :personid, -, -, Relationship to permit to work's site checker list record using a person., 99115
  PLUSGPERWORKCTRSIGN, PLUSGPERMITWORK, PLUSGPERWORKCTRSIGN, plusgpermitworkid = :plusgpermitworkid, -, -, Relationship to retrieve all the countersignatures of a permit to work., 99116
  PLUSGPERSON, PLUSGPERWORKCTRSIGN, PERSON, personid = :personid, -, -, Relationship to person to retrieve person's details., 99117
  PLUSGPERWORKCTRSIGN, PERSON, PLUSGPERWORKCTRSIGN, personid = :personid, -, -, Relationship to permit to work's countersignatures list record using a person., 99118
  PLUSGCERTREVACT, PLUSGCERT, PLUSGCERTREVACT, plusgcertid=:plusgcertid, -, -, Relationship to retrieve all the actions of a certification., 99119
  PLUSGSTDACT, PLUSGCERTREVACT, PLUSGSTDACT, plusgstdactid=:plusgstdactid, -, -, Relationship between PLUSGSTDACT and PLUSGCERTREVACT, 99120
  PLUSGPERSONGROUP, PLUSGCERTREVACT, PERSONGROUP, persongroupid = :actionbygroupid, -, -, Relationship to person group to retrieve its details., 99121
  PLUSGPERSON, PLUSGCERTREVACT, PERSON, personuid = :actionbyid, -, -, Relationship to person to retrieve its details., 99122
  PLUSGSTDACTGRP, PLUSGCERTREVACT, PLUSGSTDACTGRP, plusgstdactgrpid = :plusgstdactgrpid, -, -, Relationship to standard action group to retrieve its details., 99123
  PLUSGCERTREVACT, PLUSGSTDACT, PLUSGCERTREVACT, plusgstdactid = :plusgstdactid, -, -, Relationship to Certification's standard action list., 99124
  PLUSGCERTREVACT, PLUSGSTDACTGRP, PLUSGCERTREVACT, plusgstdactgrpid = :plusgstdactgrpid, -, -, Relationship to Certification's standard action list., 99125
  PLUSGCERTREVACT, PERSON, PLUSGCERTREVACT, actionbyid =:personuid, -, -, Relationship to Certification to retrieve its details., 99126
  PLUSGCERTREVACT, PERSONGROUP, PLUSGCERTREVACT, actionbygroupid =:persongroupid, -, -, Relationship to Certification, 99127
  PLUSGCERTREVITEM, PLUSGCERTREVACT, PLUSGCERTREVITEM, plusgcertrevactid = :plusgcertrevactid, -, -, Relationship between Review Actions and Review Item., 99128
  PLUSGJPSUPRISKASSESS, JOBPLAN, PLUSGJPSUPRISKASSESS, jobplanid = :jobplanid, -, -, Relationship to retrieve all supplementary risk assessments of a jobplan., 99129
  PLUSGRISKASSESS, PLUSGJPSUPRISKASSESS, PLUSGRISKASSESS, plusgriskassessid = :plusgriskassessid, -, -, Retrieves a risk assessment based on the selected supplementary risk assessment., 99130
  PLUSGJPSUPRISKASSESS, PLUSGRISKASSESS, PLUSGJPSUPRISKASSESS, plusgriskassessid = :plusgriskassessid, -, -, Retrieves all the supplementary risk assessments that use a given risk assessment record., 99131
  PLUSGLOGBOOKCHSTATUS, PLUSGLOGBOOK, PLUSGLOGBOOKCHSTATUS, -, -, -, Relationship to the non-persistent PlusGLogBookChStatus mbo. The resulting set will contain zero or more objects, 99132
  PLUSGLOGBOOKSTATUS, PLUSGLOGBOOK, PLUSGLOGBOOKSTATUS, plusglogbookid = :plusglogbookid, -, -, Relationship to the PlusGLogBookStatus mbo, used to find all logbook's status., 99133
  PLUSGSTATUSDESC, PLUSGLOGBOOK, SYNONYMDOMAIN, domainid='PLUSGLOGBOOKSTATUS' and value = :status, -, -, Relationship to SYNONYMDOMAIN, 99134
  PLUSGPERSONS, PLUSGLOGBOOK, PERSONGROUPVIEW, 1=1, -, -, Retrieves all persons on PERSONGROUPVIEW., 99135
  BOOKMARK, PLUSGLOGBOOK, BOOKMARK, app = 'PLUSGLOGBK' and keyvalue = :plusglogbookid, -, -, Relationship to the bookmark records, used to find the bookmark records for a given logbook., 99136
  PLUSGSHIFTLOG, PLUSGLOGBOOK, PLUSGSHIFTLOG, plusglogbookid = :plusglogbookid, -, -, Relationship to the shift log., 99137
  PLUSGLOGBOOK, PLUSGSHIFTLOG, PLUSGLOGBOOK, plusglogbookid = :plusglogbookid, -, -, Relationship to the shift log., 99138
  PLUSGOWNERHISTORY, PLUSGLOGBOOK, PLUSGOWNERHISTORY, recordid = :plusglogbookid and class = 'PLUSGLOGBOOK', -, -, Retrieves all Owner History., 99139
  PLUSGSHIFTIMPACT, PLUSGSHFTLOGENTRY, PLUSGSHIFTIMPACT, shiftlogentryid=:plusgshftlogentryid, -, -, Retrieves all loss record., 99140
  PLUSGWOSUPRISKASSESS, WORKORDER, PLUSGWOSUPRISKASSESS, workorderid = :workorderid, -, -, Relationship to retrieve all supplementary risk assessments of a work order., 99141
  PLUSGRISKASSESS, PLUSGWOSUPRISKASSESS, PLUSGRISKASSESS, plusgriskassessid = :plusgriskassessid, -, -, Retrieves a risk assessment based on the selected supplementary risk assessment., 99142
  PLUSGWOSUPRISKASSESS, PLUSGRISKASSESS, PLUSGWOSUPRISKASSESS, plusgriskassessid = :plusgriskassessid, -, -, Retrieves all the supplementary risk assessments that use a given risk assessment record., 99143
  PLUSGPERSONAREAS, PERSON, PLUSGPERSONAREAS, personuid = :personuid, -, -, Relationship to retrieve all area of a person., 99144
  PLUSGPMREG, PLUSGREGULATION, PLUSGPMREG, plusgregulationid = :plusgregulationid, -, -, Relationship that retrieves all the PMs associated with the current regulation., 99145
  PLUSGPM, PLUSGPMREG, PM, pmnum = :referencenum and siteid = :siteid, -, -, Relationship that retrieves the PM associated with the current PM regulation., 99146
  PLUSGITEMREG, PLUSGREGULATION, PLUSGITEMREG, plusgregulationid = :plusgregulationid, -, -, Relationship that retrieves all the items associated with the current regulation., 99147
  PLUSGITEM, PLUSGITEMREG, ITEM, :referencenum = itemnum and itemsetid = :itemsetid, -, -, Relationship that retrieves the item associated with the current item regulation., 99148
  PLUSGAUDITFIND, PLUSGREGULATION, PLUSGAUDIT, (plusgregulationid = :plusgregulationid) or (plusgauditid in (select plusgauditid from plusgaudfind where plusgregulationid = :plusgregulationid)), -, -, Relationship that retrieves all the associated audits with the current regulation., 99149
  TOSKDORIGINDESTMATRIXNOTUSER, SERVICEADDRESS, SKDORIGINDESTMATRIX, toserviceaddress=:addresscode and orgid=:orgid and source not in ( select value from synonymdomain where domainid='SOURCE' and maxvalue='USER'), -, -, Relationship to the SKDORIGINDESTMATRIX table, used to get the SKDORIGINDESTMATRIX records for a given ToServiceAddress and source is not USER., 98359
  CRAFTENABLECREW, AMCREWLABOR, CRAFT, craft=:craft and orgid=:orgid and iscrew=:yes, -, -, Relationship to find crew enabled crafts, 98360
  AMCREWLABOR_LABOR, LABOR, AMCREWLABOR, laborcode=:laborcode and orgid=:orgid and enddate is not null, -, -, Relationship to the AMCREWLABOR table,used to find crews where this labor is assigned to., 98361
  DAILYCREWREASSIGN, AMCREW, DAILYCREWREASSIGN, -, -, -, Relationship between AMCREW and DAILYCREWREASSIGN(virtual) tables., 98362
  AMCREWTOOLCREWDATE, AMCREW, AMCREWTOOL, amcrew=:amcrew and orgid=:orgid, -, -, Finds the tools for the given amcrew. This relationship will then be used to find the assigned tools for a particular day., 98363
  AMCREWLABORCREWDATE, AMCREW, AMCREWLABOR, amcrew=:amcrew and orgid=:orgid, -, -, Finds the labors for the given amcrew. This relationship will then be used to find the assigned labors for a particular day., 98364
  AMCREWQUALCREWDATE, AMCREW, AMCREWQUAL, amcrew=:amcrew and orgid=:orgid, -, -, Finds the qualifications for the given amcrew. This relationship will then be used to find the assigned qualifications for a particular day., 98365
  AMCREWTOOLSQCREWDATE, AMCREW, AMCREWTOOLSQ, amcrew=:amcrew and orgid=:orgid, -, -, Finds the tools for the given amcrew. This relationship will then be used to find the assigned tools for a particular day., 98366
  AMCREWLABPOSCREWDATE, AMCREW, AMCREWLABPOS, amcrew=:amcrew and orgid=:orgid, -, -, Finds the labors for the given amcrew. This relationship will then be used to find the assigned labors for a particular day., 98367
  MODAVAILNONWORK, AMCREWLABOR, MODAVAIL, personid in (select personid from labor where laborcode = :laborcode and orgid = :orgid) and reasoncode in ( select value from synonymdomain where domainid='RSNCODE' and maxvalue='NON-WORK'), -, -, Finds the non-working entries for a particular person, 98368
  ASSETWOS, AMCREWTOOL, WORKORDER, status in (select value from synonymdomain where domainid='WOSTATUS' and maxvalue in ('APPR','INPRG','WMATL')) and assetnum=:assetnum and siteid=:siteid and schedfinish is not null and schedstart is not null, -, -, Finds the workorders that the asset is assigned to that has a scheduled start and scheduled finish date, 98369
  LABORWOS, AMCREWLABOR, ASSIGNMENT, orgid=:orgid  and laborcode=:laborcode and (craft is null or craft=:craft) and (skilllevel is null or skilllevel=:skilllevel) and (vendor is null or vendor=:vendor) and (contractnum is null or contractnum=:contractnum), -, -, Finds the workorders that the labor is assigned to that has a scheduled start and scheduled finish date, 98370
  AMCREWWORKORDERS, AMCREW, ASSIGNMENT, orgid=:orgid and status in (select value from synonymdomain where maxvalue in ('ASSIGNED','STARTED','COMPLETE') and domainid='ASSTAT') and amcrew=:amcrew, -, -, Find the active workorders for the crew., 98371
  JOBPLAN, AMCREW, JOBPLAN, amcrew=:amcrew, -, -, Relationship to check if the crew is being used by a JobPlan., 98372
  SKDLABORHRS, SKDPROJECT, SKDLABORHRS, skdprojectid=:skdprojectid, -, -, Relationship from SKDPROJECT to SKDLABORHRS to find all labor hours., 98373
  SKDLABHRSDAILY, SKDPROJECT, SKDLABORHRS, skdprojectid=:skdprojectid and timeperiod=(select value from synonymdomain where domainid='TIMEPERIOD' and maxvalue='15' and defaults=1), -, -, Relationship from SKDPROJECT to SKLABORHRS to find yearly labor hours., 98374
  SKDLABHRSWEEK, SKDPROJECT, SKDLABORHRS, skdprojectid=:skdprojectid and timeperiod=(select value from synonymdomain where domainid='TIMEPERIOD' and maxvalue='13' and defaults=1), -, -, Relationship from SKDPROJECT to SKDLABORHRS to find weekly labor hours., 98375
  SKDLABHRSMONTH, SKDPROJECT, SKDLABORHRS, skdprojectid=:skdprojectid and timeperiod not in (select value from synonymdomain where domainid='TIMEPERIOD' and maxvalue in ('13','14', '15') and defaults=1), -, -, Relationship from SKDPROJECT to SKDLABORHRS to find monthly labor hours., 98376
  ODMERUNMONITOR, SKDPROJECT, ODMERUNMONITOR, skdprojectid=:skdprojectid, -, -, Relationship to get ODME run status for a given scenario., 98377
  ALNDOMAIN, SKDPROJECTSCENARIO, ALNDOMAIN, domainid='REPORTSCHEDTYPE' and value=:scheduletype, -, -, Relationship from SKDPROJECTSCENARIO to ALNDOMAIN., 98378
  SKDPROJECT, SKDODMERUN, SKDPROJECT, skdprojectid=:skdprojectid, -, -, Get skdproject record for skdodmerun record., 98379
  ODMERUNMONITOR, SKDODMERUN, ODMERUNMONITOR, skdprojectid=:skdprojectid, -, -, Relationship to get ODME run status for a given SKDODMERUN record., 98380
  MAXVARINPUTEP, ORGANIZATION, MAXVARINPUT, orgid=:orgid, -, -, Relationship to the MaxVarInput table, used to get an instance of the non-persistent MBO of MaxVarInput for the organization. (maxvarinput.orgid =  organization.orgid). This relationship will find zero or more objects., 98381
  SKDCOMPLIANCECOMP, SKDPROJECT, SKDCOMPLIANCE, skdprojectid=:skdprojectid and skdcompactive=0, -, -, Relationship to the SKDCompliance table, used to find the completed compliance period for the schedule., 98382
  SKDPROJECTRESLVL, SKDPROJECT, SKDPROJECT, skdprojectid=:skdprojectid and type = 'RESLEVEL', -, -, Relationship to the SKDProject table, used to find resource levelling scenarios for the schedule., 98383
  SKDWORKPLANEXTCAP, SKDPROJECT, SKDWORKPLANEXTCAP, skdprojectid=:skdprojectid and orgid=:orgid, -, -, Relationship to the SKDWorkPlanExtCap table, used to find the extra capacity for the schedule., 98384
  SKDPROJECTEMWO, SKDPROJECT, SKDPROJECTEMWO, projectname=:name and scenarioname=:scenarioname, -, -, Project Emergency Work Orders, 98385
  DATESELECTOR, SKDPROJECTEMWO, DATESELECTOR, pattern = :schedule, -, -, Date selector pattern for Emergency WOs Cron Task, 98386
  EXPBUILDER, SKDPROJECTEMWO, EXPBUILDER, 1=1, -, -, Relationship for EXPBUILD, 98387
  WFEXPBUILDER, SKDPROJECTEMWO, WFEXPBUILDER, 1=1, -, -, Relationship for WFEXPBUILDER, 98388
  ALNDOMAIN, SKDPROJECTEMWO, ALNDOMAIN, domainid='REPORTSCHEDTYPE' and value=:scheduletype, -, -, Relationship from SKDPROJECTEMWO to ALNDOMAIN., 98389
  ASSIGNMENT, SKDEMAVAILRES, ASSIGNMENT, assignmentid=:assignmentid, -, -, Assignment records for the emergency work orders available resources, 98390
  SKDEMAVAILRES, SKDPROJECT, SKDEMAVAILRES, skdprojectid=:skdprojectid, -, -, Emergency work orders available resources records for a given skdproject, 98391
  ASSIGNMENT, SKDACTIVITY, ASSIGNMENT, assignmentid=:objectid, -, -, Relationship from the SKDActivity table to the Assignment table, 98392
  SKDEXTRACAPACITY, SKDWORKPLANEXTCAP, SKDEXTRACAPACITY, skdprojectid=:skdprojectid, -, -, Relationship to the SKDExtraCapacity table, used to find the additional capacity for the schedule., 98393
  WFASSIGNMENT, PLUSGISOLATION, WFASSIGNMENT, ownertable = 'PLUSGISOLATION' and wfassignment.ownerid = :plusgpermitworkid and assignstatus in (select value from synonymdomain where domainid='WFASGNSTATUS' and maxvalue='ACTIVE'), -, -, Relationship to active assignments on this Isolation., 99797
  WFTRANSACTION, PLUSGISOLATION, WFTRANSACTION, ownertable = 'PLUSGISOLATION' and ownerid = :plusgpermitworkid, -, -, Relationship to workflow transactions.., 99798
  OTHERINSPFORMS, WOACTIVITY, INSPECTIONFORM, orgid=:orgid and status in (select value from synonymdomain where domainid = 'INSPECTFORMSTATUS' and maxvalue='ACTIVE') and inspformnum not in (select uw.inspformnum from inspformusewith uw where uw.inspformnum=inspformnum and ((uw.objectname='LOCATION' and uw.objectid=:location and uw.siteid=:siteid and uw.orgid=:orgid) or (uw.objectname='ASSET' and uw.objectid=:assetnum and uw.siteid=:siteid and uw.orgid=:orgid))), -, -, Relationship from WOACTIVITY to INSPECTIONFORM that returns all other forms. This relationship can return many rows., 99917
  RECINSPFORMS, MULTIASSETLOCCI, INSPFORMUSEWITH, (((objectname='LOCATION' and objectid=:location and orgid=:orgid and siteid=:siteid and inspformnum not in (select insp.inspformnum from inspformusewith insp where insp.objectname='ASSET' and insp.objectid=:assetnum and insp.orgid=:orgid and insp.siteid=:siteid))) or (objectname='ASSET' and objectid=:assetnum and orgid=:orgid and siteid=:siteid)) and inspformnum in (select i.inspformnum from inspectionform i where i.inspformnum=inspformnum and i.orgid=orgid and i.siteid=siteid and i.status in (select value from synonymdomain where domainid = 'INSPECTFORMSTATUS' and maxvalue='ACTIVE')), -, -, Relationship from MULTIASSETLOCCI to INSPFORMUSEWITH that returns all recommended forms. This relationship can return many rows., 99918
  OTHERINSPFORMS, MULTIASSETLOCCI, INSPECTIONFORM, orgid=:orgid and status in (select value from synonymdomain where domainid = 'INSPECTFORMSTATUS' and maxvalue='ACTIVE') and inspformnum not in (select uw.inspformnum from inspformusewith uw where uw.inspformnum=inspformnum and ((uw.objectname='LOCATION' and uw.objectid=:location and uw.siteid=:siteid and uw.orgid=:orgid) or (uw.objectname='ASSET' and uw.objectid=:assetnum and uw.siteid=:siteid and uw.orgid=:orgid))), -, -, Relationship from MULTIASSETLOCCI to INSPECTIONFORM that returns all other forms. This relationship can return many rows., 99919
  RECINSPFORMS, ROUTE_STOP, INSPFORMUSEWITH, (((objectname='LOCATION' and objectid=:location and orgid=:orgid and siteid=:siteid and inspformnum not in (select insp.inspformnum from inspformusewith insp where insp.objectname='ASSET' and insp.objectid=:assetnum and insp.orgid=:orgid and insp.siteid=:siteid))) or (objectname='ASSET' and objectid=:assetnum and orgid=:orgid and siteid=:siteid)) and inspformnum in (select i.inspformnum from inspectionform i where i.inspformnum=inspformnum and i.orgid=orgid and i.siteid=siteid and i.status in (select value from synonymdomain where domainid = 'INSPECTFORMSTATUS' and maxvalue='ACTIVE')), -, -, Relationship from ROUTE_STOP to INSPFORMUSEWITH that returns all recommended forms. This relationship can return many rows., 99920
  OTHERINSPFORMS, ROUTE_STOP, INSPECTIONFORM, orgid=:orgid and status in (select value from synonymdomain where domainid = 'INSPECTFORMSTATUS' and maxvalue='ACTIVE') and inspformnum not in (select uw.inspformnum from inspformusewith uw where uw.inspformnum=inspformnum and ((uw.objectname='LOCATION' and uw.objectid=:location and uw.siteid=:siteid and uw.orgid=:orgid) or (uw.objectname='ASSET' and uw.objectid=:assetnum and uw.siteid=:siteid and uw.orgid=:orgid))), -, -, Relationship from ROUTE_STOP to INSPECTIONFORM that returns all other forms. This relationship can return many rows., 99921
  ASSETMETER, INSPFIELDRESULT, ASSETMETER, assetnum=(select asset from inspectionresult where resultnum=:resultnum and siteid=:siteid) and siteid=:siteid and metername=:metername, -, -, Relationship from InspFieldResult to AssetMeter, to create meter readings. This relationship can return one row only., 99922
  LOCATIONMETER, INSPFIELDRESULT, LOCATIONMETER, location=(select location from inspectionresult where resultnum=:resultnum and siteid=:siteid) and siteid=:siteid and metername=:metername, -, -, Relationship from InspFieldResult to LocationMeter, to create meter readings. This relationship can return one row only., 99923
  INSPFIELDRESULTMET, INSPECTIONRESULT, INSPFIELDRESULT, resultnum=:resultnum and orgid=:orgid and siteid=:siteid and metername is not null, -, -, Relationship from InspectionResult to InspFieldResult, to return only meter values. This relationship can return many rows., 99924
  INSPQUESTION, INSPFIELDRESULT, INSPQUESTION, inspquestionnum=:inspquestionnum and orgid=:orgid, -, -, Relationship to identify related question information for this response, 99926
  FUPWORKORDER, INSPECTIONRESULT, WORKORDER, wonum=:fupobjectid and orgid=:orgid and siteid=:siteid and :fupobject='WORKORDER', -, -, Relationship to identify created WOs based on an Inspection Result, 99928
  INSPFIELDOPTIONACT, INSPFIELDRESULT, INSPFIELDOPTION, inspfieldnum=:inspfieldnum and orgid=:orgid and :txtresponse=description and requireaction=1, -, -, Relationship to identify responses that require action, 99930
  PARENTWO, INSPECTIONRESULT, WORKORDER, wonum=:parent and orgid=:orgid and siteid=:siteid and (:referenceobject = 'WORKORDER' or :referenceobject = 'WOACTIVITY' ), -, -, Receive the parent work order detail of the current inspection result, 99932
  CRAFTSKILL, WPLABOR, CRAFTSKILL, craft=:craft and orgid=:orgid and (skilllevel=:skilllevel or (skilllevel is null and (:skilllevel is null or :skilllevel=''))), -, -, Define the relationship between the WPLABOR with CRAFTSKILL based on reference object, 99935
  CRAFTSKILL, CRAFTRATE, CRAFTSKILL, craft=:craft and orgid=:orgid and (skilllevel=:skilllevel or (skilllevel is null and (:skilllevel is null or :skilllevel=''))), -, -, Define the relationship between the CRAFTRATE with CRAFTSKILL based on reference object, 99936
  SITE, WORKORDER, SITE, siteid=:siteid, -, -, Define the relationship between the WORKORDER with SITE based on reference object, 99940
  UXSUPERVISOR, JOBPLAN, PERSON, personid=:supervisor, -, -, Relationship to the person table, used to find the person for supervisor. This resulting set will contain zero or one object., 99941
  LONGDESCRIPTION, JOBPLAN, LONGDESCRIPTION, ldkey=:jobplanid and ldownertable = 'JOBPLAN', -, -, Relationship to the longdescription table, used to find all longdescription records for jobplan. The resulting set will contain zero or more objects., 99942
  UXPERSON, PM, PERSON, personid=:supervisor, -, -, Define the relationship between the PM with PERSON based on reference object., 99943
  AUTOATTRUPDATE, WORKORDER, AUTOATTRUPDATE, (wonum=:wonum or wonum in ( select wonum from workorder where parent=:wonum and siteid=:siteid) ) and worksiteid=:siteid, MULTIPLE, 0, -, 2376
  ASSETAUTOATTRUPDATE, MULTIASSETLOCCI, AUTOATTRUPDATE, wonum=:recordkey and worksiteid=:worksiteid and asset=:assetnum and siteid=:siteid, UNDEFINED, 0, -, 2377
  LOCAUTOATTRUPDATE, MULTIASSETLOCCI, AUTOATTRUPDATE, wonum=:recordkey and worksiteid=:worksiteid and location=:location and siteid=:siteid, UNDEFINED, 0, -, 2378
  ASSETSPEC, AUTOATTRUPDATE, ASSETSPEC, assetnum=:asset and assetattrid=:attribute and siteid=:siteid, UNDEFINED, 0, -, 2379
  SCHEDULE, CONTRACTLINE, SCHEDULE, contractlineid=:contractlineid and orgid=:orgid, UNDEFINED, 0, Relationship to the Schedule table, used to find schedule records for a given contract line. (schedule.contractlineid=contractline.contractlineid and schedule.orgid = contractline.orgid). The resulting set will contain zero or one object., 2080
  MASTERPMMETER, METER, MASTERPMMETER, metername = :metername, UNDEFINED, 0, Relationship to the MasterPMMeter table, used to find all masterpmmeters having this meter. (masterpmmeter.metername = meter.metername). The resulting set will contain zero or more objects., 2662
