ENVIRONMENT,APPNAME,MODULE,SELFSERVICE,LIMITEDUSE,AUTHORIZEDUSE
BASE,SUPERVISOR,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,TECHNICIAN,WO,NOACCESS,READONLY,READONLY
BASE,ADMINISTRATOR,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,MMIUI,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,MANAGEASSETS,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,WCDESIGNER,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,INVENTORY,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,BUDGET,FINANCIAL,NOACCESS,READONLY,FULLACCESS
BASE,TENANTREG,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RESLEVEL,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,DBINFO,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,SCHEDDM,SCHEDULER,NOACCESS,NOACCESS,FULLACCESS
BASE,MAP,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,SCHTTMGR,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSACM,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSANEWAS,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSATR,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAASSET,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAMASPM,PM,NOACCESS,READONLY,FULLACCESS
BASE,PLUSAORG,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSAPM,PM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAWO,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSABITMA,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACAPAB,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACMDVL,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACMSER,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACOMP,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAEVMNG,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAINV,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAINVIS,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAITEM,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAJP,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAMNTFO,PM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAMNTPL,PM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSANAREC,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAPO,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAPR,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSARCPTS,PURCHASE,NOACCESS,READONLY,FULLACCESS
BASE,PLUSARFQ,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSASCGRP,SECURITY,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACMATC,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACMATT,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACMFLE,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAFLEUL,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAPMGRP,PM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSABDIQ,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSALOGBK,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACMPMS,PURCHASE,NOACCESS,READONLY,FULLACCESS
BASE,PLUSAFLB,PLUSAFLB,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAFLBSU,PLUSAFLB,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSAZONE,AVIATION,NOACCESS,READSAVE,FULLACCESS
