ENVIRONMENT,USERID,STATUS,CHANGEDATE,MEMO,CHANGEBY
BASE,ALEXANDREPECANHA,INACTIVE,2021-11-20-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREPECANHA,ACTIVE,2022-04-04-09.14.25.000000,,MAXADOOG
BASE,ALEXANDREPECANHA,INACTIVE,2022-05-25-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREPECANHA,ACTIVE,2022-11-30-16.14.37.000000,,ITEAM
BASE,ALEXANDREPECANHA,INACTIVE,2023-01-20-05.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREPECANHA,ACTIVE,2023-04-12-11.25.48.000000,,MAXADOOG
BASE,ALEXANDREPECANHA,INACTIVE,2023-05-17-13.49.31.000000,Ticket#0294562 — ENC: Desligamento | 17/05 | Alexa,ITEAM
BASE,ALEXANDRERIBEIRO,ACTIVE,2017-12-14-18.41.46.000000,,MAXADOOG
BASE,ALEXANDRERIBEIRO,BLOCKED,2018-01-09-10.04.52.000000,,MAXADMIN
BASE,ALEXANDRERIBEIRO,ACTIVE,2018-01-09-10.15.29.000000,,MAXADOOG
BASE,ALEXANDRERIBEIRO,BLOCKED,2018-01-10-08.43.13.000000,,MAXADMIN
BASE,ALEXANDRERIBEIRO,ACTIVE,2018-01-10-08.45.31.000000,,MAXADOOG
BASE,ALEXANDRERIBEIRO,INACTIVE,2018-03-26-12.08.00.000000,Integrante desligado em 23/03/18,MAXADOOG
BASE,ALEXANDRERIBEIRO,ACTIVE,2018-06-25-08.41.04.000000,Integrante voltou como estagiario.,MAXADOOG
BASE,ALEXANDRERIBEIRO,BLOCKED,2019-12-11-17.19.29.000000,,MAXADMIN
BASE,ALEXANDRERIBEIRO,ACTIVE,2019-12-11-17.23.04.000000,,MAXADMIN
BASE,ALEXANDRERIBEIRO,BLOCKED,2020-02-06-15.17.15.000000,,MAXADMIN
BASE,ALEXANDRERIBEIRO,ACTIVE,2020-02-06-15.21.08.000000,,MAXADMIN
BASE,ALEXANDRERIBEIRO,BLOCKED,2020-03-16-09.59.22.000000,,MAXADMIN
BASE,ALEXANDRERIBEIRO,ACTIVE,2020-03-16-09.59.39.000000,,MAXADMIN
