ENVIRONMENT,PERSONGROUP,DESCRIPTION,ISCREWWORKGROUP,OOG_DEPARTMENT,OOG_USEINMOC,OOG_ISTOPSIDE
HTQ,DDNON,Desenvolvimento de Negócios / Business Development,0,0,1,-
HTQ,INTEGRIT,Integrity,0,1,0,-
HTQ,R&R,Repair & Return,0,1,0,-
HTQ,T&D,T&D,0,0,0,-
HTQ,OOG_ARM,Assistant Rig Manager / Rig Coordinator,0,0,0,-
HTQ,PROON,Processo / Process Onshore,0,0,1,-
HTQ,ESTON,Estrutura / Stucture Onshore,0,0,1,-
HTQ,MANON,Manutenção /Maintenance Onshore,0,0,1,-
HTQ,HSEON,Sustentabilidade / Sustainability Onshore.,0,0,1,-
HTQ,OOG_MACR,Group people to macrostructre,0,0,0,-
HTQ,QUAENG,Quality Engineer,0,0,0,-
HTQ,OOG_OIMC,Department for OIM/Captain and Chief Mate/Imediatos.,0,0,0,-
HTQ,NAUTICAL,Nautical,0,1,0,-
HTQ,INTOFF,Internalização / Internalization,0,0,1,-
HTQ,ASSETENG,Asset/Planning Engineer,0,1,0,-
HTQ,OOG_CM,CM Approval Group,1,0,0,-
HTQ,OOG_CMML,CM Group Mail,0,0,0,-
HTQ,YARD,Yard Onshore,0,1,0,-
HTQ,OOG_RMG,Risk Assessment Manager,0,0,0,-
HTQ,MKTON,Marketing,0,0,1,-
HTQ,OOG_RIGS,RIG Superintendentes Aprovadores,0,0,0,-
HTQ,OOG_SQP,SQP Person Group to send WOREF communications revisions,0,0,0,-
HTQ,OOG_PH,Profissional Habilitado,0,0,0,-
HTQ,OOG_FIMA,Financial Managers,0,0,0,-
HTQ,ADMON,Administração Contratual / Contractual Administration Onshore,0,0,1,-
HTQ,CEION,Confiabilidade & Integridade /  Reliability and Integrity,0,0,1,-
HTQ,GMAON,Gestão Marítima / Maritime Management,0,0,1,-
HTQ,PERCO,VPE Perfuração / VPE Drilling,0,0,1,-
HTQ,FEICO,VP Finanças & Investimentos / VP Finance & Investments,0,0,1,-
HTQ,CEACO,VP Controladoria & Administração / VP Controllership & Administration,0,0,1,-
HTQ,JEGCO,VP Jurídico & Governança / VP Legal & Governance,0,0,1,-
HTQ,SSTCO,VP Sustentabilidade / VP Sustainability,0,0,1,-
HTQ,CFMCO,VP Conformidade / VP Compliance,0,0,1,-
HTQ,CFMON,Conformidade / Compliance,0,0,1,-
HTQ,CTRON,Controladoria / Controllership,0,0,1,-
HTQ,1079,Governança & Proteção de Dados / Governance & Data Protection,0,0,1,-
HTQ,GEPON,Governança & Proteção de Dados / Governance & Data Protection,0,0,1,-
HTQ,PIMON,Planejamento Estratégico & Inteligência de Mercado / Strategic Planning & Market Intelligence,0,0,1,-
HTQ,RINON,Relação com Investidores / Investor Relations,0,0,1,-
