ENVIRONMENT,GROUPNAME,APP,OPTIONNAME
N06,OOG_QUALIFIED_PROFESSIONAL,PLUSGPR,CANCEL
N06,OOG_QUALIFIED_PROFESSIONAL,PLUSGPR,COMPLETE
N06,OOG_ENGINEER_COORDINATOR,PLUSGPR,SAVE
N06,OOG_ENGINEER_COORDINATOR,PLUSGPR,INSERT
N06,OOG_QUALIFIED_PROFESSIONAL,PLUSGPO,SAVE
N06,OOG_QUALIFIED_PROFESSIONAL,PLUSGPR,INSERT
N06,OOG_QUALIFIED_PROFESSIONAL,PLUSGPR,SAVE
N06,OOG_ASSET_ENGINEER,PLUSGPR,CANCEL
N06,OOG_ASSET_ENGINEER,PLUSGPR,APPROVE
N06,OOG_MATERIALS_COORDINATOR_YARD,PLUSGPO,SAVE
N06,OOG_MATERIALS_COORDINATOR_YARD,PLUSGPR,INSERT
N06,OOG_MATERIALS_COORDINATOR_YARD,PLUSGPR,SAVE
N06,OOG_QUALIFIED_PROFESSIONAL,PLUSGPO,APPROVE
N06,OOG_QUALIFIED_PROFESSIONAL,PLUSGPO,CANCEL
N06,OOG_MATERIALS_COORDINATOR_YARD,PLUSGPR,CANCEL
N06,MAXADMIN,CREATEDR,SAVE
N06,MAXADMIN,CREATEDR,WAPPR
N06,MAXADMIN,CREATEDR,CANCEL
N06,MAXADMIN,CREATEDR,APPR
N06,MAXADMIN,CREATEDR,INSERT
N06,OOG_DEPARTMENT_LEADER,CREATEDR,INSERT
N06,OOG_DEPARTMENT_LEADER,CREATEDR,SAVE
N06,OOG_DEPARTMENT_LEADER,CREATEDR,APPR
N06,OOG_DEPARTMENT_LEADER,CREATEDR,CANCEL
N06,OOG_DEPARTMENT_LEADER,CREATEDR,WAPPR
N06,OOG_MATERIALS_COORDINATOR,CREATEDR,INSERT
N06,OOG_MATERIALS_COORDINATOR,CREATEDR,SAVE
N06,OOG_MATERIALS_COORDINATOR,CREATEDR,APPR
N06,OOG_MATERIALS_COORDINATOR,CREATEDR,CANCEL
N06,OOG_MATERIALS_COORDINATOR,CREATEDR,WAPPR
N06,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,INSERT
N06,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,SAVE
N06,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,APPR
N06,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,CANCEL
N06,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,WAPPR
N06,OOG_MAINTENANCE_COORDINATOR,PLUSGPO,APPROVE
N06,OOG_MAINTENANCE_COORDINATOR,PLUSGPO,SAVE
N06,OOG_MAINTENANCE_COORDINATOR,PLUSGPO,CANCEL
N06,OOG_MAINTENANCE_COORDINATOR,PLUSGPR,COMPLETE
N06,HTQ_MATERIALS_COORDINATOR,PLUSGPO,APPROVE
N06,HTQ_MATERIALS_COORDINATOR,PLUSGPO,CANCEL
N06,HTQ_MATERIALS_COORDINATOR,PLUSGPO,INSERT
N06,HTQ_MATERIALS_COORDINATOR,CREATEDR,WAPPR
N06,HTQ_MATERIALS_COORDINATOR,CREATEDR,CANCEL
N06,HTQ_MATERIALS_COORDINATOR,CREATEDR,APPR
N06,HTQ_MATERIALS_COORDINATOR,PLUSGPR,CANCEL
N06,HTQ_MATERIALS_COORDINATOR,PLUSGPR,SAVE
N06,HTQ_MATERIALS_COORDINATOR,PLUSGPR,INSERT
N06,HTQ_MATERIALS_COORDINATOR,PLUSGPO,SAVE
N06,HTQ_MATERIALS_COORDINATOR,CREATEDR,SAVE
N06,HTQ_MATERIALS_COORDINATOR,CREATEDR,INSERT
N06,FetchAll:,95,rows fetched.
N06,>,,
N08,HTQ_MATERIALS_COORDINATOR,CREATEDR,WAPPR
N08,HTQ_MATERIALS_COORDINATOR,CREATEDR,CANCEL
N08,HTQ_MATERIALS_COORDINATOR,CREATEDR,APPR
N08,HTQ_MATERIALS_COORDINATOR,CREATEDR,SAVE
N08,HTQ_MATERIALS_COORDINATOR,CREATEDR,INSERT
N08,MAXADMIN,CREATEDR,INSERT
N08,MAXADMIN,CREATEDR,SAVE
N08,MAXADMIN,CREATEDR,WAPPR
N08,MAXADMIN,CREATEDR,CANCEL
N08,MAXADMIN,CREATEDR,APPR
N08,OOG_DEPARTMENT_LEADER,CREATEDR,WAPPR
N08,OOG_DEPARTMENT_LEADER,CREATEDR,CANCEL
N08,OOG_DEPARTMENT_LEADER,CREATEDR,INSERT
N08,OOG_DEPARTMENT_LEADER,CREATEDR,SAVE
N08,OOG_DEPARTMENT_LEADER,CREATEDR,APPR
N08,OOG_DEPARTMENT_TEAM,CREATEDR,INSERT
N08,OOG_DEPARTMENT_TEAM,CREATEDR,SAVE
N08,OOG_DEPARTMENT_TEAM,CREATEDR,APPR
N08,OOG_DEPARTMENT_TEAM,CREATEDR,CANCEL
N08,OOG_DEPARTMENT_TEAM,CREATEDR,WAPPR
N08,OOG_MAINTENANCE_COORDINATOR,CREATEDR,INSERT
N08,OOG_MAINTENANCE_COORDINATOR,CREATEDR,SAVE
N08,OOG_MAINTENANCE_COORDINATOR,CREATEDR,APPR
N08,OOG_MAINTENANCE_COORDINATOR,CREATEDR,CANCEL
N08,OOG_MAINTENANCE_COORDINATOR,CREATEDR,WAPPR
N08,OOG_MATERIALS_COORDINATOR,CREATEDR,INSERT
N08,OOG_MATERIALS_COORDINATOR,CREATEDR,SAVE
N08,OOG_MATERIALS_COORDINATOR,CREATEDR,APPR
N08,OOG_MATERIALS_COORDINATOR,CREATEDR,CANCEL
N08,OOG_MATERIALS_COORDINATOR,CREATEDR,WAPPR
N08,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,INSERT
N08,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,SAVE
N08,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,APPR
N08,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,CANCEL
N08,OOG_MATERIALS_COORDINATOR_YARD,CREATEDR,WAPPR
N08,HTQ_MATERIALS_COORDINATOR,PLUSGPO,APPROVE
N08,HTQ_MATERIALS_COORDINATOR,PLUSGPO,CANCEL
N08,HTQ_MATERIALS_COORDINATOR,PLUSGPO,INSERT
N08,HTQ_MATERIALS_COORDINATOR,PLUSGPO,SAVE
N08,MAXADMIN,PLUSGPO,INSERT
N08,MAXADMIN,PLUSGPO,SAVE
N08,MAXADMIN,PLUSGPO,UNAPPROVE
