ENVIRONMENT,USERID,PERSONID,STATUS,TYPE,DEFSITE,LOGINID,MAXUSERID
HTQ,RAFAELCHRISPIM,RAFAELCHRISPIM,ACTIVE,TYPE 1,HTQ,rafaelchrispim,1334
HTQ,KAUAALVES,KAUAALVES,INACTIVE,TYPE 10,HTQ,kauaalves,4000000118
HTQ,FELIPERANGEL,FELIPERANGEL,ACTIVE,TYPE 1,HTQ,feliperangel,1337
HTQ,ROGERIOGOMES,ROGERIOGOMES,INACTIVE,TYPE 1,HTQ,rogeriogomes,1343
HTQ,MARIOJUNIOR,MARIOJUNIOR,ACTIVE,TYPE 1,HTQ,mariojunior,1350
HTQ,BRUNASILVA,BRUNASILVA,ACTIVE,TYPE 1,HTQ,brunasilva,1371
HTQ,FRANCISCOROSA,FRANCISCOROSA,ACTIVE,TYPE 1,HTQ,franciscorosa,1378
HTQ,ALEXCABRAL,ALEXCABRAL,INACTIVE,TYPE 1,HTQ,alexcabral,1381
HTQ,HALLISSONGOIS,HALLISSONGOIS,ACTIVE,TYPE 1,HTQ,hallissongois,1416
HTQ,JULIOFONSECA,JULIOFONSECA,INACTIVE,TYPE 1,HTQ,juliofonseca,1434
HTQ,MAILSONSANTOS,MAILSONSANTOS,INACTIVE,TYPE 1,HTQ,mailsonsantos,1435
HTQ,MUNIRAVALENTIM,MUNIRAVALENTIM,INACTIVE,TYPE 1,HTQ,muniravalentim,1436
HTQ,RILDOMARSILVA,RILDOMARSILVA,INACTIVE,TYPE 1,HTQ,rildomarsilva,1437
HTQ,ROSEMIROMACHADO,ROSEMIROMACHADO,ACTIVE,TYPE 1,HTQ,rosemiromachado,1438
HTQ,SANDROMORETTI,SANDROMORETTI,INACTIVE,TYPE 1,HTQ,sandromoretti,1439
HTQ,VINICIUSBARCELLOS,VINICIUSBARCELLOS,INACTIVE,TYPE 1,HTQ,viniciusbarcellos,1440
HTQ,WANDERSONAMORIM,WANDERSONAMORIM,ACTIVE,TYPE 1,HTQ,wandersonamorim,1441
HTQ,WILLIAMCUNHA,WILLIAMCUNHA,INACTIVE,TYPE 1,HTQ,williamcunha,1442
HTQ,ELIONARDOSANTOS,ELIONARDOSANTOS,ACTIVE,TYPE 1,HTQ,elionardosantos,1457
HTQ,FABIANODOSSANTOS,FABIANODOSSANTOS,INACTIVE,TYPE 1,HTQ,fabianodossantos,1458
HTQ,HELTERSA,HELTERSA,ACTIVE,TYPE 1,HTQ,heltersa,1460
HTQ,LUCASNASCIMENTO,LUCASNASCIMENTO,ACTIVE,TYPE 1,HTQ,lucasnascimento,1461
HTQ,ISABELLYMELO,ISABELLYMELO,ACTIVE,TYPE 1,HTQ,isabellymelo,1489
HTQ,MARCOSNEVES,MARCOSNEVES,INACTIVE,TYPE 1,HTQ,marcosneves,1516
HTQ,GUSTAVOMARINS,GUSTAVOMARINS,ACTIVE,TYPE 1,HTQ,gustavomarins,1519
HTQ,MARCOSPCOSTA,MARCOSPCOSTA,ACTIVE,TYPE 1,HTQ,marcospcosta,1530
HTQ,EDSONFERREIRA,EDSONFERREIRA,ACTIVE,TYPE 1,HTQ,edsonferreira,1579
HTQ,MAXADOOG,MAXADOOG,INACTIVE,TYPE 2,HTQ,maxadoog,647
HTQ,JOAOGIRAO,JOAOGIRAO,INACTIVE,TYPE 10,HTQ,joaogirao,1675
HTQ,FABRICIOANDRADE,FABRICIOANDRADE,INACTIVE,TYPE 10,HTQ,fabricioandrade,1676
HTQ,PATRICKBARBOSA,PATRICKBARBOSA,INACTIVE,TYPE 1,HTQ,patrickarbosa,1755
HTQ,MATEUSLUIZ,MATEUSLUIZ,INACTIVE,TYPE 1,HTQ,mateusluiz,1764
HTQ,DANIELSANTOS,DANIELSANTOS,ACTIVE,TYPE 1,HTQ,danielsantos,1773
HTQ,MAYCONAZEVEDO,MAYCONAZEVEDO,ACTIVE,TYPE 10,HTQ,mayconazevedo,1848
HTQ,CAMILLAVALLADARES,CAMILLAVALLADARES,INACTIVE,TYPE 1,HTQ,camillavalladares,1869
HTQ,IGORCABRAL,IGORCABRAL,INACTIVE,TYPE 10,HTQ,igorcabral,1875
HTQ,LUCASBRAGANCA,LUCASBRAGANCA,INACTIVE,TYPE 1,HTQ,lucasbraganca,1322
HTQ,RICARDOSILVA,RICARDOSILVA,ACTIVE,TYPE 1,HTQ,ricardosilva,1331
HTQ,JULIOPACHECO,JULIOPACHECO,INACTIVE,TYPE 1,HTQ,juliopacheco,1388
HTQ,DAVIDJESUS,DAVIDJESUS,INACTIVE,TYPE 1,HTQ,davidjesus,1405
HTQ,EDERSILVA,EDERSILVA,ACTIVE,TYPE 1,HTQ,edersilva,1406
HTQ,GIOVANEESPINDOLA,GIOVANEESPINDOLA,DELETED,TYPE 1,HTQ,giovaneespindola,1412
HTQ,HAROLDONETO,HAROLDONETO,INACTIVE,TYPE 1,HTQ,haroldoneto,1417
HTQ,JOSUESANTANA,JOSUESANTANA,ACTIVE,TYPE 1,HTQ,josuesantana,1425
HTQ,CAIOSANTOS,CAIOSANTOS,INACTIVE,TYPE 1,HTQ,caiosantos,1451
HTQ,CARLOSSOUSA,CARLOSSOUSA,INACTIVE,TYPE 1,HTQ,carlossousa,1452
HTQ,DANIELFIGUEIREDO,DANIELFIGUEIREDO,ACTIVE,TYPE 1,HTQ,danielfigueiredo,1454
HTQ,MARCELOLUZ,MARCELOLUZ,INACTIVE,TYPE 1,HTQ,marceloluz,1462
HTQ,MARCOSFELIX,MARCOSFELIX,ACTIVE,TYPE 1,HTQ,marcosfelix,1464
HTQ,ROBERTOBELLINGER,ROBERTOBELLINGER,ACTIVE,TYPE 1,HTQ,robertobellinger,1472
HTQ,VITORDASILVA,VITORDASILVA,INACTIVE,TYPE 1,HTQ,vitordasilva,1477
HTQ,CLEBERSILVA,CLEBERSILVA,INACTIVE,TYPE 1,HTQ,clebersilva,1496
HTQ,CRISTIANOTEODORO,CRISTIANOTEODORO,ACTIVE,TYPE 1,HTQ,cristianoteodoro,1513
HTQ,BRUNOBARCELOS,BRUNOBARCELOS,INACTIVE,TYPE 1,HTQ,brunobarcelos,1515
HTQ,LUISGUSTAVOSILVA,LUISGUSTAVOSILVA,INACTIVE,TYPE 10,HTQ,luisgustavosilva,1925
HTQ,USERTESTE1,USERTESTE1,INACTIVE,TYPE 1,HTQ,userteste1,1927
HTQ,FABRICIOANGELO,FABRICIOANGELO,INACTIVE,TYPE 1,HTQ,fabricioangelo,1542
HTQ,PEDROVALADARES,PEDROVALADARES,INACTIVE,TYPE 10,HTQ,pedrovaladares,1935
HTQ,CLEBERCSILVA,CLEBERCSILVA,INACTIVE,TYPE 1,HTQ,clebercsilva,1570
HTQ,ADSONCOSTA,ADSONCOSTA,INACTIVE,TYPE 1,HTQ,adsoncosta,1573
HTQ,JHONATANBATISTA,JHONATANBATISTA,ACTIVE,TYPE 10,HTQ,jhonatanbatista,1596
HTQ,JACKSONPEDRO,JACKSONPEDRO,INACTIVE,TYPE 10,HTQ,jacksonpedro,1933
HTQ,MARCUSSANTOS,MARCUSSANTOS,INACTIVE,TYPE 10,HTQ,marcussantos,1939
HTQ,BRUNOBARROS,BRUNOBARROS,INACTIVE,TYPE 10,HTQ,brunobarros,1966
HTQ,HIGORSILVA,HIGORSILVA,INACTIVE,TYPE 1,HTQ,higorsilva,1617
HTQ,MGUEST,MGUEST,INACTIVE,TYPE 1,,mguest,1626
HTQ,JULIANADUARTE,JULIANADUARTE,ACTIVE,TYPE 10,HTQ,julianaduarte,2001
HTQ,RICARDOBASTOS,RICARDOBASTOS,INACTIVE,TYPE 1,HTQ,ricardobastos,1679
