ENVIRONMENT,USERID,LICENSENUM,ISSELFSERVICEUSER,ISUNLICUSER,ISLATEST
BASE,MAZENELNAWASRA,-,0,1,0
BASE,LENIELJUNIOR,-,0,1,0
BASE,ITEAM2,-,0,1,0
BASE,VANESSASANTOS,O&G_LIMITED,0,0,0
BASE,RODRIGOSCALA,O&G_LIMITED,0,0,0
BASE,HELENAALMEIDA,-,0,1,0
BASE,ERNESTOJUNIOR,-,0,1,0
BASE,DARIUSZWROBLEWSKI,-,0,1,0
BASE,EDERREZENDE,-,0,1,0
BASE,WLADMIRSILVA,-,0,1,0
BASE,RAFAELMAIA,-,0,1,0
BASE,CLEVERSONALMEIDA,-,0,1,0
BASE,BRUNOJOVINO,-,0,1,0
BASE,VICTORBORBA,O&G_LIMITED,0,0,0
BASE,LUISCOSTA,O&G_LIMITED,0,0,0
BASE,LUCASPORTES,O&G_AUTHORIZED,0,0,0
BASE,GUSTAVOCANARIO,O&G_AUTHORIZED,0,0,0
BASE,USERTESTE,O&G_AUTHORIZED,0,0,0
BASE,GUSTAVOCANARIO,-,0,1,1
BASE,VICTORIASILVA,O&G_LIMITED,0,0,0
BASE,BASEREADONLY,-,0,1,0
BASE,DIEGOESTEFANI,-,0,1,0
BASE,FABIANASANTOS,-,0,1,0
BASE,BRUNOSTOGMULLER,-,0,1,0
BASE,ALEXANDERRIBEIRO,-,0,1,0
BASE,SINVALJUNIOR,-,0,1,0
BASE,SULAMITAMUNIZ,-,0,1,0
BASE,KAIANLIMA,-,0,1,0
BASE,VICTORBORBA,-,0,1,0
BASE,GABRIELREGIS,-,0,1,0
BASE,ALEXANDREANDRADE,-,0,1,0
BASE,OSIELBARRETO,-,0,1,0
BASE,RENANASSEF,-,0,1,0
BASE,HASSLERLEAL,-,0,1,1
BASE,ERICALISBOA,-,0,1,0
BASE,RAFAELPASCOAL,-,0,1,1
BASE,FILIPEMONSORES,-,0,1,0
BASE,JEFFERSONSOUZA,-,0,1,0
BASE,FREDERICOCARDOSO,-,0,1,0
BASE,FLAMARIONBRAGA,-,0,1,0
BASE,MARCIOMAGALHAES,O&G_LIMITED,0,0,0
BASE,LEONARDOMOREIRA,-,0,1,0
BASE,RENATOLIMA,O&G_LIMITED,0,0,0
BASE,RUTHSILVA,O&G_LIMITED,0,0,0
BASE,RAFAELSIMOES,-,0,1,0
BASE,DANILODELIMA,-,0,1,0
BASE,GRAZIONEMELLO,-,0,1,0
BASE,JESSICAQUINTANILHA,-,0,1,1
BASE,JULIANAMANHAES,-,0,1,0
BASE,IGORKLEM,-,0,1,1
BASE,EMMANUELJUNIOR,-,0,1,0
BASE,LUCASMIRANDA,-,0,1,1
BASE,WLADMYRCALLADO,-,0,1,0
BASE,JOAOCOSTA,-,0,1,1
BASE,THIAGOSILVEIRA,-,0,1,0
BASE,MILENAKOCHEM,-,0,1,0
BASE,THIAGOSILVEIRA,-,0,1,0
BASE,JADERMIGUEL,-,0,1,1
BASE,RENATAPEREIRA,O&G_LIMITED,0,0,0
BASE,HEITORGIOPPO,O&G_LIMITED,0,0,0
BASE,FABIANO.SOUZA,O&G_LIMITED,0,0,0
BASE,LUCASBRAGANCA,-,0,1,0
BASE,KLISMANCHAGAS,-,0,1,0
BASE,ASANTANA,-,0,1,0
BASE,MARCELOBRITI,-,0,1,0
BASE,CHARLESPEREIRA,-,0,1,0
BASE,DOWGLASAREAS,-,0,1,0
BASE,GABRIELALINO,O&G_LIMITED,0,0,0
BASE,LUISSILVA,-,0,1,1
BASE,JOANAFREZE,-,0,1,0
BASE,TIAGOFREITAS,O&G_LIMITED,0,0,0
BASE,MARCELLAARAUJO,-,0,1,0
BASE,WAGNERAZEVEDO,-,0,1,0
BASE,GABRIELALINO,-,0,1,0
BASE,LUISACALDERON,O&G_LIMITED,0,0,0
BASE,FABRIZIOSOBRINHO,-,0,1,0
BASE,MARCIUSABREU,-,0,1,0
BASE,GUILHERMECOUTO,-,0,1,0
BASE,CLAUDIOFARIAS,-,0,1,0
BASE,CARLOSJUNIOR,-,0,1,0
BASE,PALOMAFERREIRA,-,0,1,0
BASE,LARAALVES,-,0,1,0
BASE,FREDERICOCARDOSO,-,0,1,0
BASE,JANDERFONSECA,-,0,1,0
BASE,GUSTAVOCORGOSINHO,-,0,1,0
BASE,EDWINVILLAGARAY,-,0,1,0
BASE,ELOIORLANDINI,-,0,1,0
BASE,THIAGOBASTOS,-,0,1,0
BASE,SORAYARANGEL,-,0,1,0
BASE,ALLANMARQUES,-,0,1,1
BASE,ANGELOSILVA,-,0,1,0
BASE,HELENAALMEIDA,-,0,1,0
BASE,PATRICKSILVA,-,0,1,0
BASE,JONASPINHEIRO,-,0,1,0
BASE,ANDERSONOLIVEIR,-,0,1,0
BASE,ANA.FREITAS,-,0,1,0
BASE,GUSTAVOMONTENEG,-,0,1,0
BASE,MARIONICOLI,O&G_LIMITED,0,0,0
BASE,ALESSANDROSANTOS,O&G_AUTHORIZED,0,0,0
BASE,ALEKSANDROMAICK,O&G_AUTHORIZED,0,0,0
BASE,EUGENIOCAMPOS,O&G_LIMITED,0,0,0
BASE,CLAUDIOFARIAS,O&G_AUTHORIZED,0,0,0
BASE,LEANDROJACOMINI,O&G_AUTHORIZED,0,0,0
BASE,DOGONCALVES,O&G_LIMITED,0,0,0
BASE,DIEGORODRIGUES,O&G_LIMITED,0,0,0
BASE,BASEREADONLY,O&G_LIMITED,0,0,0
BASE,BKRAMER,O&G_AUTHORIZED,0,0,0
BASE,DIEGOOTAVIO,O&G_LIMITED,0,0,0
BASE,ABEATRIZ,O&G_AUTHORIZED,0,0,0
BASE,JEFFERSONSOUZA,O&G_LIMITED,0,0,0
BASE,MAXADOOG,-,0,1,0
BASE,HUGOMALUF,O&G_AUTHORIZED,0,0,0
BASE,EDUARDOSILVA,O&G_LIMITED,0,0,0
BASE,BASEREADY,O&G_LIMITED,0,0,0
BASE,MARLONROBIM,O&G_LIMITED,0,0,0
BASE,JOSEPITTA,O&G_AUTHORIZED,0,0,0
BASE,MARCELOPEDRO,O&G_AUTHORIZED,0,0,0
BASE,MARCELOLAMOGLIA,O&G_LIMITED,0,0,0
BASE,RUANNSILVA,O&G_LIMITED,0,0,0
BASE,PEDRODUARTE,O&G_LIMITED,0,0,0
BASE,CIBELYGOMES,O&G_LIMITED,0,0,0
BASE,LEANDROROCHA,O&G_LIMITED,0,0,0
BASE,LENIELJUNIOR,O&G_AUTHORIZED,0,0,0
BASE,LAIONSOUZA,O&G_LIMITED,0,0,0
